run,c8_over_f4_TeV4,c6_over_f2_TeV2,selection_index,omega_peak_no_daisy,omega_peak_with_daisy,relative_peak_difference
run05,0.0,3.2,1,9.2284051890855e-17,6.124931874638878e-17,-0.3362957359216435
run05,0.0,3.4383838383838383,2,1.4976184819121173e-15,1.5919512017775746e-14,9.629884853884922
run05,0.0,3.5313131313131314,3,2.0495716075718343e-14,1.4035489943362438e-14,-0.3151988497737562
run05,2.0,3.0,1,5.0264520786014413e-17,3.8849525126512376e-17,-0.227098467885486
run05,2.0,3.367676767676768,2,2.020557046864781e-14,4.040774211100551e-14,0.9998317876599732
run05,2.0,3.37979797979798,3,1.2712997585126686e-14,6.660097660256985e-15,-0.4761190179058296
run05,5.0,2.8,1,8.3651514019344e-17,5.645518849939286e-17,-0.32511456413881673
run05,5.0,2.981818181818182,2,6.545422177975686e-16,3.580374660201466e-16,-0.45299561084862294
run05,5.0,3.1595959595959595,3,1.729493785869939e-14,5.934904247766184e-14,2.4315846036884805
