run,c8_over_f4_TeV4,c6_over_f2_TeV2,observable,no_daisy,with_daisy,relative_difference
run05,0.0,3.2,alpha,0.0235124301801553,0.0211585091356391,-0.10011389832867773
run05,0.0,3.204040404040404,alpha,0.0236727729552099,0.0213342317387599,-0.09878611267360354
run05,0.0,3.2080808080808083,alpha,0.0239147455697233,0.021552992819967,-0.09875717652402465
run05,0.0,3.2121212121212124,alpha,0.0241050665861104,0.0217439949218923,-0.09794918656555693
run05,0.0,3.2161616161616164,alpha,0.0243344777939111,0.0219559914619312,-0.09774141660747035
run05,0.0,3.2202020202020205,alpha,0.0245658837352218,0.0221516241679832,-0.09827692719139232
run05,0.0,3.224242424242425,alpha,0.0247979540076102,0.0223523540747857,-0.09862103672238344
run05,0.0,3.2282828282828286,alpha,0.0250410881557897,0.0225694894466438,-0.09870172948432542
run05,0.0,3.2323232323232327,alpha,0.0252956682896614,0.0227620378993048,-0.10016064257895572
run05,0.0,3.2363636363636363,alpha,0.0255296605786993,0.0229943062510134,-0.09931014632451772
run05,0.0,3.2404040404040404,alpha,0.0257636571616066,0.0232204002647992,-0.09871490219165782
run05,0.0,3.2444444444444445,alpha,0.0260107906041808,0.0234464218111113,-0.09858865238249699
run05,0.0,3.2484848484848485,alpha,0.0262693158437302,0.0236675171450241,-0.09904326074510553
run05,0.0,3.2525252525252526,alpha,0.0265279362313118,0.0239228938781504,-0.09819996287862692
run05,0.0,3.2565656565656567,alpha,0.0267519796836346,0.0241364179849271,-0.09777077172002932
run05,0.0,3.2606060606060607,alpha,0.0270520915099121,0.0243646449386728,-0.09934339347678892
run05,0.0,3.264646464646465,alpha,0.0273257245185955,0.0246047540959528,-0.09957541732483777
run05,0.0,3.268686868686869,alpha,0.0275910032707556,0.0248528466793822,-0.09924092156067559
run05,0.0,3.272727272727273,alpha,0.0278642055585713,0.0251041598096027,-0.09905345204143402
run05,0.0,3.276767676767677,alpha,0.02813708370662,0.0253628823958499,-0.09859590779542632
run05,0.0,3.280808080808081,alpha,0.0284316127049407,0.0256109628416055,-0.09920822616034868
run05,0.0,3.284848484848485,alpha,0.0287500707461334,0.0258922270099104,-0.09940301578587778
run05,0.0,3.288888888888889,alpha,0.0290415539805752,0.0261419475078245,-0.09984336494838177
run05,0.0,3.2929292929292933,alpha,0.0293319231685532,0.0264159295601009,-0.0994136522073854
run05,0.0,3.2969696969696973,alpha,0.0296462288629263,0.0266919670689637,-0.09965050892719152
run05,0.0,3.3010101010101014,alpha,0.029962971516555,0.0269491738506078,-0.10058407138564454
run05,0.0,3.305050505050505,alpha,0.0303087118831625,0.0272764699754723,-0.10004522525995935
run05,0.0,3.309090909090909,alpha,0.0306294304260788,0.0275574623722267,-0.10029465161835126
run05,0.0,3.313131313131313,alpha,0.0309362667254783,0.0278563015237867,-0.09955839949993123
run05,0.0,3.317171717171717,alpha,0.0313040314317026,0.0281592642334834,-0.1004588563961891
run05,0.0,3.3212121212121213,alpha,0.0316621140422472,0.0284545536435802,-0.10130594547120589
run05,0.0,3.3252525252525253,alpha,0.0320196008398348,0.0287954051674844,-0.10069443677571574
run05,0.0,3.3292929292929294,alpha,0.0323797471622112,0.0290944862765958,-0.1014603625271499
run05,0.0,3.333333333333333,alpha,0.0327103059191604,0.0294376432011823,-0.10004989638635899
run05,0.0,3.337373737373737,alpha,0.0331555491877985,0.0297710748659988,-0.10207866872086718
run05,0.0,3.3414141414141416,alpha,0.0334900114043462,0.0301260373026022,-0.10044708737565367
run05,0.0,3.3454545454545457,alpha,0.0339144066676717,0.0304501583318936,-0.10214680650982252
run05,0.0,3.3494949494949497,alpha,0.034290671431195,0.0308473121652251,-0.10041679332173697
run05,0.0,3.353535353535354,alpha,0.0347026403821632,0.0311385885023204,-0.1027026139969074
run05,0.0,3.357575757575758,alpha,0.0351417827696706,0.0315358664318764,-0.10261051243269076
run05,0.0,3.361616161616162,alpha,0.0355606438382255,0.0319151649575253,-0.10251442289077838
run05,0.0,3.3656565656565656,alpha,0.0359991415410292,0.0323322699129643,-0.10185997418537517
run05,0.0,3.3696969696969696,alpha,0.036380007269484,0.0327303492832501,-0.1003204303726259
run05,0.0,3.3737373737373737,alpha,0.0368648906020619,0.0331396769386767,-0.1010504467135688
run05,0.0,3.3777777777777778,alpha,0.03735104179883,0.0335346705189729,-0.10217576528150925
run05,0.0,3.381818181818182,alpha,0.0378769351144135,0.0338931634872927,-0.1051767154625146
run05,0.0,3.385858585858586,alpha,0.0383878829111284,0.0343777139162087,-0.10446444791455729
run05,0.0,3.38989898989899,alpha,0.0388579681418232,0.0348418071185454,-0.10335489000916567
run05,0.0,3.393939393939394,alpha,0.039349814974595,0.0353314259644685,-0.10211964180062474
run05,0.0,3.397979797979798,alpha,0.0398487041901094,0.0357341573212939,-0.10325421999134288
run05,0.0,3.402020202020202,alpha,0.0404255455955656,0.0362560470540102,-0.10314019217622541
run05,0.0,3.4060606060606062,alpha,0.0410164557301011,0.0367141111650313,-0.10489313346283105
