quantity,value
label,results_eft68_c6f23p32323_c8f42_f1000_mh125_Glauber_off
model_parameters.c6_over_f2_TeV2,3.323232323232323
model_parameters.c8_over_f4_TeV4,2.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,False
model_parameters.C_glauber,0.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.18355155991570546
derived_tree_coefficients.mu2_tree_GeV2,-1758.463531663464
derived_tree_coefficients.a0_mean_field,0.24350040857080096
derived_tree_coefficients.glauber_t0,0.0
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.18355155991570546
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,-1758.463531663464
derived_tree_coefficients.combo_TeV2,7.009560646464646
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,True
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,67.03558164057394
key_temperatures.Tc,89.46639362754689
key_temperatures.Ts_false,22.625601367181687
key_temperatures.Ts_true,93.88818554687468
key_temperatures.S_at_Tn,9388.618800680893
key_temperatures.S_over_Tn,140.05426030343176
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-4.3090559168955546e-05
key_temperatures.phi_true_Tn,236.32412770674566
key_temperatures.vTn_over_Tn,3.5253535797429136
key_temperatures.Tc_minus_Tn_over_Tc,0.25071773967277095
gw_scales.gw_T_star_GeV,67.03558164057394
gw_scales.gw_alpha,0.048779446201635705
gw_scales.gw_beta_over_H,672.768347065985
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,8.641991700066688
gw_peaks.sw.f_peak_Hz,0.008641991700066689
gw_peaks.sw.omega_peak,2.2188541130592967e-15
gw_peaks.turb.f_peak_mHz,14.79591353904755
gw_peaks.turb.f_peak_Hz,0.01479591353904755
gw_peaks.turb.omega_peak,1.612161001454666e-19
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,8.641991700066688
gw_peaks.total.f_peak_Hz,0.008641991700066689
gw_peaks.total.omega_peak,2.2189955053150982e-15
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,9387.817685685892
S3_over_T,140.0423097098008
bounce_diagnostics.label,results_eft68_c6f23p32323_c8f42_f1000_mh125_Glauber_off
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-4.3090559168955546e-05
bounce_diagnostics.phi_absMin,236.32412770674566
bounce_diagnostics.phi_bar,116.92138838611069
bounce_diagnostics.phi_top,79.6244822790795
bounce_diagnostics.V(phi_meta),-51963547.04466473
bounce_diagnostics.V(phi_true),-73059331.20467024
bounce_diagnostics.V(phi_top),-50480520.84663945
bounce_diagnostics.DeltaV_true_minus_meta,-21095784.160005502
bounce_diagnostics.r0,2.669296517664072e-06
bounce_diagnostics.phi0,228.21536727281213
bounce_diagnostics.dphi0,-0.07623243070878585
bounce_diagnostics.rscale_cubic,0.02669296517664072
bounce_diagnostics.rscale_curv,0.026060264379995857
bounce_diagnostics.wall_r_hi,0.10187611473449505
bounce_diagnostics.wall_thickness,0.07370975554881637
bounce_diagnostics.S_total,9387.817685685892
bounce_diagnostics.S_kin,14083.71154065554
bounce_diagnostics.S_pot,-4695.893854969648
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,37.46305415612313
bounce_diagnostics.beta_curvature,38.372592941239795
bounce_diagnostics.beta_wall,13.566725225912895
bounce_diagnostics.Tn_from_transitionFinder_GeV,67.03558164057394
bounce_diagnostics.Tc_from_transitionFinder_GeV,89.46639362754689
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
bounce_diagnostics.gw_T_star_GeV,67.03558164057394
bounce_diagnostics.gw_alpha,0.048779446201635705
bounce_diagnostics.gw_beta_over_H,672.768347065985
bounce_diagnostics.gw_R_star_times_H,nan
bounce_diagnostics.gw_Gamma_Tstar_GeV4,nan
bounce_diagnostics.gw_dT_for_beta_GeV,nan
bounce_diagnostics.gw_f_sw_peak_Hz,nan
bounce_diagnostics.gw_f_turb_peak_Hz,nan
bounce_diagnostics.gw_f_coll_peak_Hz,nan
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,nan
bounce_diagnostics.omega_turb_peak,nan
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,nan
