quantity,value
label,results_eft68_c6f23p07879_c8f45_f1000_mh125_Glauber_off
model_parameters.c6_over_f2_TeV2,3.078787878787879
model_parameters.c8_over_f4_TeV4,5.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,False
model_parameters.C_glauber,0.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.1778421980677055
derived_tree_coefficients.mu2_tree_GeV2,-1751.9253084677512
derived_tree_coefficients.a0_mean_field,0.24635508949480092
derived_tree_coefficients.glauber_t0,0.0
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.1778421980677055
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,-1751.9253084677512
derived_tree_coefficients.combo_TeV2,7.065315757575759
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,65.66285717624933
key_temperatures.Tc,87.80281499125637
key_temperatures.Ts_false,25.844461328119227
key_temperatures.Ts_true,92.30907812499971
key_temperatures.S_at_Tn,9197.055265221117
key_temperatures.S_over_Tn,140.06480468150798
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-4.2765103890294955e-05
key_temperatures.phi_true_Tn,236.5958703767429
key_temperatures.vTn_over_Tn,3.6031918279413695
key_temperatures.Tc_minus_Tn_over_Tc,0.25215544418720276
gw_scales.gw_T_star_GeV,65.66285717624933
gw_scales.gw_alpha,0.05291132373933326
gw_scales.gw_beta_over_H,339.43942162723783
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,4.262765178840986
gw_peaks.sw.f_peak_Hz,0.004262765178840986
gw_peaks.sw.omega_peak,1.0859249240588694e-14
gw_peaks.turb.f_peak_mHz,7.298260309936079
gw_peaks.turb.f_peak_Hz,0.007298260309936079
gw_peaks.turb.omega_peak,7.890227292863229e-19
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,4.262765178840986
gw_peaks.total.f_peak_Hz,0.004262765178840986
gw_peaks.total.omega_peak,1.0859940592305334e-14
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,9197.018928615675
S3_over_T,140.06425130008344
bounce_diagnostics.label,results_eft68_c6f23p07879_c8f45_f1000_mh125_Glauber_off
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-4.2765103890294955e-05
bounce_diagnostics.phi_absMin,236.5958703767429
bounce_diagnostics.phi_bar,116.11030074954475
bounce_diagnostics.phi_top,79.03909202979692
bounce_diagnostics.V(phi_meta),-47134783.38865768
bounce_diagnostics.V(phi_true),-68316490.2256752
bounce_diagnostics.V(phi_top),-45719045.26904498
bounce_diagnostics.DeltaV_true_minus_meta,-21181706.837017514
bounce_diagnostics.r0,2.711908856844939e-06
bounce_diagnostics.phi0,228.0492793711061
bounce_diagnostics.dphi0,-0.08125865902026466
bounce_diagnostics.rscale_cubic,0.027119088568449388
bounce_diagnostics.rscale_curv,0.026462361112924368
bounce_diagnostics.wall_r_hi,0.10196827578867132
bounce_diagnostics.wall_thickness,0.07455067801495782
bounce_diagnostics.S_total,9197.018928615675
bounce_diagnostics.S_kin,13780.05675965429
bounce_diagnostics.S_pot,-4583.037831038617
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,36.87439559319887
bounce_diagnostics.beta_curvature,37.789523477669015
bounce_diagnostics.beta_wall,13.413694236279921
bounce_diagnostics.Tn_from_transitionFinder_GeV,65.66285717624933
bounce_diagnostics.Tc_from_transitionFinder_GeV,87.80281499125637
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
bounce_diagnostics.gw_T_star_GeV,65.66285717624933
bounce_diagnostics.gw_alpha,0.05291132373933326
bounce_diagnostics.gw_beta_over_H,339.43942162723783
bounce_diagnostics.gw_R_star_times_H,nan
bounce_diagnostics.gw_Gamma_Tstar_GeV4,nan
bounce_diagnostics.gw_dT_for_beta_GeV,nan
bounce_diagnostics.gw_f_sw_peak_Hz,nan
bounce_diagnostics.gw_f_turb_peak_Hz,nan
bounce_diagnostics.gw_f_coll_peak_Hz,nan
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,nan
bounce_diagnostics.omega_turb_peak,nan
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,nan
