quantity,value
label,results_eft68_c6f20_c8f40_f518p286_mh125_Glauber_C3p72273_Lambda1000
model_parameters.c6_over_f2_TeV2,0.0
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,518.285894676161
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,3.7227272727272727
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,0.12909808976138543
derived_tree_coefficients.mu2_tree_GeV2,7812.5
derived_tree_coefficients.a0_mean_field,0.3998252334093464
derived_tree_coefficients.glauber_t0,0.22528456363636362
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.45579741857367123
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,94136.2153989429
derived_tree_coefficients.combo_TeV2,0.0
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 518.285894676161)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,True
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,67.2785575867756
key_temperatures.Tc,82.74402552052564
key_temperatures.Ts_false,54.096526562495974
key_temperatures.Ts_true,93.36684179687472
key_temperatures.S_at_Tn,9414.166895089542
key_temperatures.S_over_Tn,139.92819157793608
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.00031426701691876377
key_temperatures.phi_true_Tn,236.65768954712783
key_temperatures.vTn_over_Tn,3.517579716864288
key_temperatures.Tc_minus_Tn_over_Tc,0.18690736686377002
gw_scales.gw_T_star_GeV,67.2785575867756
gw_scales.gw_alpha,0.0483557187364497
gw_scales.gw_beta_over_H,1036.8436607106328
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,13.49299699644052
gw_peaks.sw.f_peak_Hz,0.013492996996440519
gw_peaks.sw.omega_peak,9.12273422178446e-16
gw_peaks.turb.f_peak_mHz,22.749095652733732
gw_peaks.turb.f_peak_Hz,0.022749095652733732
gw_peaks.turb.omega_peak,6.628779857394312e-20
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,13.49299699644052
gw_peaks.total.f_peak_Hz,0.013492996996440519
gw_peaks.total.omega_peak,9.123318237390688e-16
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,9419.494195016336
S3_over_T,140.00737430892616
bounce_diagnostics.label,results_eft68_c6f20_c8f40_f518p286_mh125_Glauber_C3p72273_Lambda1000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.00031426701691876377
bounce_diagnostics.phi_absMin,236.65768954712783
bounce_diagnostics.phi_bar,114.83004515121489
bounce_diagnostics.phi_top,78.89280592785931
bounce_diagnostics.V(phi_meta),-58943832.88361142
bounce_diagnostics.V(phi_true),-76693421.92908646
bounce_diagnostics.V(phi_top),-58093585.042933196
bounce_diagnostics.DeltaV_true_minus_meta,-17749589.045475043
bounce_diagnostics.r0,3.492936887180615e-06
bounce_diagnostics.phi0,229.13063286125723
bounce_diagnostics.dphi0,-0.08807827829102274
bounce_diagnostics.rscale_cubic,0.03492936887180615
bounce_diagnostics.rscale_curv,0.03278054180810315
bounce_diagnostics.wall_r_hi,0.1157708629704809
bounce_diagnostics.wall_thickness,0.08560100593971198
bounce_diagnostics.S_total,9419.494195016336
bounce_diagnostics.S_kin,14117.737327828465
bounce_diagnostics.S_pot,-4698.243132812128
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,28.629203226376283
bounce_diagnostics.beta_curvature,30.505898104833495
bounce_diagnostics.beta_wall,11.68210570684521
bounce_diagnostics.Tn_from_transitionFinder_GeV,67.2785575867756
bounce_diagnostics.Tc_from_transitionFinder_GeV,82.74402552052564
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
bounce_diagnostics.gw_T_star_GeV,67.2785575867756
bounce_diagnostics.gw_alpha,0.0483557187364497
bounce_diagnostics.gw_beta_over_H,1036.8436607106328
bounce_diagnostics.gw_R_star_times_H,nan
bounce_diagnostics.gw_Gamma_Tstar_GeV4,nan
bounce_diagnostics.gw_dT_for_beta_GeV,nan
bounce_diagnostics.gw_f_sw_peak_Hz,nan
bounce_diagnostics.gw_f_turb_peak_Hz,nan
bounce_diagnostics.gw_f_coll_peak_Hz,nan
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,nan
bounce_diagnostics.omega_turb_peak,nan
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,nan
