quantity,value
label,results_eft68_c6f21p5_c8f40_f1000_mh125_Glauber_C3p2_Lambda1000
model_parameters.c6_over_f2_TeV2,1.5
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,3.2
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.007062910238614578
derived_tree_coefficients.mu2_tree_GeV2,3692.5404620000004
derived_tree_coefficients.a0_mean_field,0.3317447334093464
derived_tree_coefficients.glauber_t0,0.19365120000000002
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.4059907378157831
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,80074.45375254528
derived_tree_coefficients.combo_TeV2,3.0
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 559.0169943749474)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,62.13775950089916
key_temperatures.Tc,82.58752272929054
key_temperatures.Ts_false,39.43674882811951
key_temperatures.Ts_true,93.8059960937497
key_temperatures.S_at_Tn,8698.267073755966
key_temperatures.S_over_Tn,139.98359682778872
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.00026782286988862145
key_temperatures.phi_true_Tn,238.61712090676124
key_temperatures.vTn_over_Tn,3.840130748571782
key_temperatures.Tc_minus_Tn_over_Tc,0.24761322960881907
gw_scales.gw_T_star_GeV,62.13775950089916
gw_scales.gw_alpha,0.06602705776020001
gw_scales.gw_beta_over_H,414.99603786160344
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,4.970655653643069
gw_peaks.sw.f_peak_Hz,0.004970655653643069
gw_peaks.sw.omega_peak,1.3133810984027075e-14
gw_peaks.turb.f_peak_mHz,8.510236278416366
gw_peaks.turb.f_peak_Hz,0.008510236278416367
gw_peaks.turb.omega_peak,9.54255693879173e-19
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,4.970655653643069
gw_peaks.total.f_peak_Hz,0.004970655653643069
gw_peaks.total.omega_peak,1.313465032744204e-14
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,8690.356189786393
S3_over_T,139.85628480313392
bounce_diagnostics.label,results_eft68_c6f21p5_c8f40_f1000_mh125_Glauber_C3p2_Lambda1000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.00026782286988862145
bounce_diagnostics.phi_absMin,238.61712090676124
bounce_diagnostics.phi_bar,114.01812780901778
bounce_diagnostics.phi_top,78.5124562571926
bounce_diagnostics.V(phi_meta),-40696396.575791106
bounce_diagnostics.V(phi_true),-61915779.662758656
bounce_diagnostics.V(phi_top),-39621338.02025735
bounce_diagnostics.DeltaV_true_minus_meta,-21219383.08696755
bounce_diagnostics.r0,3.091351299459799e-06
bounce_diagnostics.phi0,229.58511062801173
bounce_diagnostics.dphi0,-0.10111342741513789
bounce_diagnostics.rscale_cubic,0.030913512994597988
bounce_diagnostics.rscale_curv,0.028521700126400897
bounce_diagnostics.wall_r_hi,0.10521258721658362
bounce_diagnostics.wall_thickness,0.07898011373163148
bounce_diagnostics.S_total,8690.356189786393
bounce_diagnostics.S_kin,13019.16115194699
bounce_diagnostics.S_pot,-4328.804962160598
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,32.348313185070424
bounce_diagnostics.beta_curvature,35.061022004894866
bounce_diagnostics.beta_wall,12.661415041739813
bounce_diagnostics.Tn_from_transitionFinder_GeV,62.13775950089916
bounce_diagnostics.Tc_from_transitionFinder_GeV,82.58752272929054
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
bounce_diagnostics.gw_T_star_GeV,62.13775950089916
bounce_diagnostics.gw_alpha,0.06602705776020001
bounce_diagnostics.gw_beta_over_H,414.99603786160344
bounce_diagnostics.gw_R_star_times_H,nan
bounce_diagnostics.gw_Gamma_Tstar_GeV4,nan
bounce_diagnostics.gw_dT_for_beta_GeV,nan
bounce_diagnostics.gw_f_sw_peak_Hz,nan
bounce_diagnostics.gw_f_turb_peak_Hz,nan
bounce_diagnostics.gw_f_coll_peak_Hz,nan
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,nan
bounce_diagnostics.omega_turb_peak,nan
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,nan
