T,branch_phys,phi_phys,phi2_phys,eta_phys,eta2_phys,veff_phys,eta_sym,eta2_sym,veff_sym,eta_broken,eta2_broken,phi_broken,phi2_broken,veff_broken,deta_phys_dT
2.0,broken,2.5821669329192267,6.667586069461487,1.5366406036904814,2.3612643449102473,-5.648657445512317,nan,nan,nan,1.5366406036904814,2.3612643449102473,2.5821669329192267,6.667586069461487,-5.648657445512317,-0.05964383412639268
2.1,broken,2.560823724496547,6.557818147944365,1.5306762202778421,2.342969691324061,-6.381373432988425,nan,nan,nan,1.5306762202778421,2.342969691324061,2.560823724496547,6.557818147944365,-6.381373432988425,-0.06174902226707513
2.2,broken,2.5378681297168786,6.440774643832648,1.5242907992370665,2.3234624406387745,-7.229340283153182,nan,nan,nan,1.5242907992370665,2.3234624406387745,2.5378681297168786,6.440774643832648,-7.229340283153182,-0.06601069529404224
2.3000000000000003,broken,2.513238055383792,6.316365523029304,1.5174740812190337,2.3027275871715505,-8.203972392954801,nan,nan,nan,1.5174740812190337,2.3027275871715505,2.513238055383792,6.316365523029304,-8.203972392954801,-0.07037865687187672
2.4000000000000004,broken,2.486864955560932,6.184497307197076,1.510215067862691,2.2807495511995124,-9.317217737740199,nan,nan,nan,1.510215067862691,2.2807495511995124,2.486864955560932,6.184497307197076,-9.317217737740199,-0.07486081518682663
2.5000000000000004,broken,2.45867282997099,6.045072084837557,1.5025019181816683,2.257512014139593,-10.581557969024814,nan,nan,nan,1.5025019181816683,2.257512014139593,2.45867282997099,6.045072084837557,-10.581557969024814,-0.07946617582438442
2.6000000000000005,broken,2.4285770397630215,5.8979864380641205,1.494321832697814,2.2329977396773537,-12.010008536407963,nan,nan,nan,1.494321832697814,2.2329977396773537,2.4285770397630215,5.8979864380641205,-12.010008536407963,-0.08420498387637387
2.7000000000000006,broken,2.3964828896456916,5.743130240364564,1.4856609214063936,2.2071883733940947,-13.616118834135964,nan,nan,nan,1.4856609214063936,2.2071883733940947,2.3964828896456916,5.743130240364564,-13.616118834135964,-0.08908890927596236
2.8000000000000007,broken,2.362283910313921,5.580385272928029,1.4765040508426217,2.180064212154671,-15.413972373971095,nan,nan,nan,1.4765040508426217,2.180064212154671,2.362283910313921,5.580385272928029,-15.413972373971095,-0.09413128543476645
2.900000000000001,broken,2.325859753874844,5.409623594694749,1.4668346643194403,2.151603932449125,-17.418186987229074,nan,nan,nan,1.4668346643194403,2.151603932449125,2.325859753874844,5.409623594694749,-17.418186987229074,-0.09934741580917894
3.000000000000001,broken,2.287073584862441,5.2307055825755375,1.456634567680786,2.12178426376259,-19.64391506021828,nan,nan,nan,1.456634567680786,2.12178426376259,2.287073584862441,5.2307055825755375,-19.64391506021828,-0.10475496940805673
