phi,veff_calc
-0.6,0.0004361283915415015
-0.59,0.0003808539210155004
-0.58,0.00033078131473018857
-0.57,0.00028558932588396146
-0.5599999999999999,0.0002449669962487633
-0.5499999999999999,0.00020861363356061702
-0.5399999999999999,0.0001762387867927373
-0.5299999999999999,0.0001475622197517623
-0.5199999999999999,0.00012231388204497762
-0.5099999999999999,0.0001002338780295986
-0.4999999999999999,8.107243286303856e-05
-0.4899999999999999,6.458985593837951e-05
-0.47999999999999987,5.055650107976817e-05
-0.46999999999999986,3.875272301456789e-05
-0.45999999999999985,2.8968830889652963e-05
-0.44999999999999984,2.1005036757060225e-05
-0.43999999999999984,1.467140036481851e-05
-0.4299999999999998,9.787768632918414e-06
-0.4199999999999998,6.183709913898383e-06
-0.4099999999999998,3.698442370136945e-06
-0.3999999999999998,2.1807561410014387e-06
-0.3899999999999998,1.4889283477259596e-06
-0.3799999999999998,1.490630452849473e-06
-0.3699999999999998,2.0628274342016084e-06
-0.35999999999999976,3.091667849730584e-06
-0.34999999999999976,4.472364068419665e-06
-0.33999999999999975,6.1090613172609665e-06
-0.32999999999999974,7.914695871136246e-06
-0.31999999999999973,9.810839515012049e-06
-0.3099999999999997,1.1727530917937656e-05
-0.2999999999999997,1.3603092043013021e-05
-0.2899999999999997,1.538392804434352e-05
-0.2799999999999997,1.7024310380975294e-05
-0.2699999999999997,1.848614111565894e-05
-0.2599999999999997,1.9738697560001128e-05
-0.24999999999999967,2.0758355560701602e-05
-0.23999999999999966,2.1528291156869273e-05
-0.22999999999999965,2.203815820678301e-05
-0.21999999999999964,2.2283742083573088e-05
-0.20999999999999963,2.2266587492936196e-05
-0.19999999999999962,2.199360118027016e-05
-0.1899999999999996,2.1476627779293267e-05
-0.1799999999999996,2.0731999413214908e-05
-0.1699999999999996,1.9780059759000324e-05
-0.1599999999999996,1.8644662858946504e-05
-0.14999999999999958,1.735264918067969e-05
-0.13999999999999957,1.5933300360870817e-05
-0.12999999999999956,1.4417775688002621e-05
-0.11999999999999955,1.2838535425885311e-05
-0.10999999999999954,1.1228753692194005e-05
-0.09999999999999953,9.621728608522062e-06
-0.08999999999999952,8.050294795225454e-06
-0.07999999999999952,6.546246083871665e-06
-0.06999999999999951,5.139776220630665e-06
-0.0599999999999995,3.858946143964204e-06
-0.04999999999999949,2.7291868320844515e-06
-0.03999999999999948,1.77284553615209e-06
-0.02999999999999947,1.0087856594509503e-06
-0.019999999999999463,4.520460237245061e-07
-0.009999999999999454,1.1356873130807799e-07
5.551115123125783e-16,0.0
0.010000000000000564,1.1356873130807799e-07
0.020000000000000573,4.520460237245061e-07
0.030000000000000582,1.0087856594509503e-06
0.04000000000000059,1.77284553615209e-06
0.0500000000000006,2.7291868320844515e-06
0.06000000000000061,3.858946143964204e-06
0.07000000000000062,5.139776220630665e-06
0.08000000000000063,6.546246083871665e-06
0.09000000000000064,8.050294795225454e-06
0.10000000000000064,9.621728608522062e-06
0.11000000000000065,1.1228753692194005e-05
0.12000000000000066,1.2838535425885311e-05
0.13000000000000067,1.4417775702213476e-05
0.14000000000000068,1.5933300360870817e-05
0.1500000000000007,1.735264918067969e-05
0.1600000000000007,1.8644662858946504e-05
0.1700000000000007,1.9780059759000324e-05
0.18000000000000071,2.0731999413214908e-05
0.19000000000000072,2.1476627779293267e-05
0.20000000000000073,2.199360118027016e-05
0.21000000000000074,2.2266587492936196e-05
0.22000000000000075,2.2283742083573088e-05
0.23000000000000076,2.203815820678301e-05
0.24000000000000077,2.1528291156869273e-05
0.2500000000000008,2.0758355546490748e-05
0.2600000000000008,1.9738697560001128e-05
0.2700000000000008,1.848614111565894e-05
0.2800000000000008,1.7024310380975294e-05
0.2900000000000008,1.538392804434352e-05
0.3000000000000008,1.3603092043013021e-05
0.31000000000000083,1.1727530917937656e-05
0.32000000000000084,9.810839500801194e-06
0.33000000000000085,7.914695871136246e-06
0.34000000000000086,6.1090613172609665e-06
0.35000000000000087,4.472364068419665e-06
0.3600000000000009,3.0916678639414386e-06
0.3700000000000009,2.0628274342016084e-06
0.3800000000000009,1.490630452849473e-06
0.3900000000000009,1.4889283619368143e-06
0.4000000000000009,2.1807561410014387e-06
0.4100000000000009,3.698442370136945e-06
0.42000000000000093,6.183709913898383e-06
0.43000000000000094,9.787768632918414e-06
0.44000000000000095,1.4671400379029365e-05
0.45000000000000095,2.1005036757060225e-05
0.46000000000000096,2.8968830889652963e-05
0.470000000000001,3.875272301456789e-05
0.480000000000001,5.055650107976817e-05
0.490000000000001,6.458985593837951e-05
0.500000000000001,8.107243286303856e-05
0.510000000000001,0.00010023387801538775
0.520000000000001,0.00012231388204497762
0.530000000000001,0.0001475622197517623
0.540000000000001,0.0001762387867927373
0.550000000000001,0.00020861363356061702
0.560000000000001,0.0002449669962487633
0.5700000000000011,0.00028558932588396146
0.5800000000000011,0.00033078131473018857
0.5900000000000011,0.0003808539210155004
0.6000000000000011,0.0004361283915415015
