Lambda_GeV,C,include_daisy,phi_limit_GeV,status,output_dir,Tn_GeV,Tc_GeV,Ts_false_GeV,Ts_true_GeV,Tc_minus_Tn_over_Tc,S3_over_Tn,phi_true_Tn_GeV,phi_false_Tn_GeV,vTn_over_Tn,alpha,beta_over_H,omega_total_peak,f_total_peak_mHz,transition_error
1000.0,3.64,False,524.1424183609591,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f524p142_mh125_Glauber_C3p64_Lambda1000,76.21517830348469,86.75331866004383,66.30209804687198,94.66582421874969,0.12147247528194809,140.00323987099526,230.04523161803593,-0.00033059478550938337,3.018365065053162,0.0307776561770419,1820.1019252761316,8.547014422608517e-17,26.52689420538825,
1000.0,3.642121212121212,False,523.9897629278798,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f523p99_mh125_Glauber_C3p64212_Lambda1000,75.99127893191726,86.62849504418455,66.02810078124696,94.6011425781247,0.12279119136078503,140.00101164153563,230.23159851707035,-0.00030360693893954964,3.029710800410944,0.03111487872934256,1831.339825976843,8.701817487201914e-17,26.52689420538825,
1000.0,3.6442424242424245,False,523.8372407989239,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f523p837_mh125_Glauber_C3p64424_Lambda1000,75.75976763186611,86.50337102910434,65.74719765624695,94.5364609374997,0.12419866728226708,139.98254639678345,230.42288157695072,-0.00029004563122817255,3.0414940380576105,0.0314723824081189,1783.2425160351638,9.474115272369076e-17,26.122466354447656,
1000.0,3.6463636363636365,False,523.6848517801941,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f523p685_mh125_Glauber_C3p64636_Lambda1000,75.53512638516968,86.37794429347018,65.42923632812192,94.4717792968747,0.1255276216282931,140.00298690087047,230.60592768596115,-0.000335052868774311,3.052962756824586,0.03181877662535317,1709.044822862033,1.0633449409298459e-16,24.945803549660923,
1000.0,3.6484848484848484,False,523.5325956781885,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f523p533_mh125_Glauber_C3p64848_Lambda1000,75.30700299695697,86.2522124850252,65.1277615234344,94.4070976562497,0.1268977243913424,139.94207341940105,230.7903692134833,-0.0003404843516559513,3.064660124939631,0.03217677903566864,1595.373100726379,1.2588775432376745e-16,23.10129700083158,
1000.0,3.650606060606061,False,523.380472299798,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f523p38_mh125_Glauber_C3p65061_Lambda1000,75.0766904918103,86.12617321960737,64.82998281249687,94.34241601562469,0.12829413306942983,139.9442025840517,230.97421892095696,-0.0003500169656663663,3.076510397673332,0.03254369081564209,1568.9806242085447,1.3431542889986007e-16,22.749095652733732,
1000.0,3.652727272727273,False,523.2284814523068,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f523p228_mh125_Glauber_C3p65273_Lambda1000,74.8487475333962,85.99982409796702,64.52933476562188,94.2782207031247,0.1296639461944483,140.05340581596087,231.15455798238347,-0.000342956858421759,3.088288923996308,0.03290943575490624,1521.7232248833784,1.4728047984876026e-16,21.724383271678267,
1000.0,3.654848484848485,False,523.0766229433901,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f523p077_mh125_Glauber_C3p65485_Lambda1000,74.61486744466065,85.873162720618,64.22868671874684,94.21353906249969,0.13110376885250383,140.06217342790157,231.33725542843186,-0.00029864725331778984,3.100417696245416,0.03329296094374981,1686.1494871760337,1.2388474568816208e-16,24.19095670528232,
1000.0,3.656969696969697,False,522.9248965811138,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f522p925_mh125_Glauber_C3p65697_Lambda1000,74.37057508509244,85.74618665766566,63.89360664062181,94.1493437499997,0.13266609298894397,139.91209217929992,231.52669322082832,-0.0003414803000886385,3.1131491581976185,0.03370545807232031,1522.2301517797468,1.5728007786117765e-16,21.724383271678267,
1000.0,3.659090909090909,False,522.7733021739333,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f522p773_mh125_Glauber_C3p65909_Lambda1000,74.13523112763207,85.61889344442685,63.60098300780928,94.0851484374997,0.13412532975853683,140.0214058030106,231.70688397268037,-0.00034457441388757514,3.125462488594271,0.03410191233930945,1673.8349156173483,1.3436265558459538e-16,23.82214245372448,
1000.0,3.661212121212121,False,522.6218395306922,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f522p622_mh125_Glauber_C3p66121_Lambda1000,73.90174394808346,85.49128059045562,63.280735937496765,94.0209531249997,0.13556396117039832,139.95567269008507,231.8837545630915,-0.00035917713290805725,3.1377304807041035,0.03449864999198304,1544.3533955990292,1.629630033209502e-16,22.060720029485164,
1000.0,3.6633333333333336,False,522.4705084606221,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f522p471_mh125_Glauber_C3p66333_Lambda1000,73.66242493741316,85.36334561477129,62.96919414062174,93.9567578124997,0.1370719551007546,139.9505247217253,232.06277216491787,-0.00033236663755293726,3.1503547753429055,0.0349142134723037,1503.9383490077494,1.7763113577246032e-16,21.393174289143477,
1000.0,3.6654545454545455,False,522.3193087733406,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f522p319_mh125_Glauber_C3p66545_Lambda1000,73.4223336807745,85.23508601686572,62.64957929687172,93.89256249999971,0.13859025535275224,139.97495587703128,232.24091230269102,-0.0002801307262400023,3.16308268424738,0.035336878849249756,1400.9601811707976,2.1163805559153936e-16,19.81135111804306,
1000.0,3.6675757575757575,False,522.1682402788509,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f522p168_mh125_Glauber_C3p66758_Lambda1000,73.18182086005223,85.10649926118258,62.322864062496684,93.8283671874997,0.1401147797718105,140.02904033742342,232.4167234721061,-0.00029430757030314157,3.175880577180001,0.035765752671790205,1454.2553204584697,2.0307057750494893e-16,20.42953815613841,
1000.0,3.66969696969697,False,522.0173027875405,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f522p017_mh125_Glauber_C3p6697_Lambda1000,72.94013258419652,84.97758277688462,62.02469628905917,93.7641718749997,0.1416544198991089,140.01989571110178,232.59247670132754,-0.00028461488212263073,3.1888134619558106,0.036203093657265026,1487.771009334729,2.0063937946061715e-16,20.74582813044975,
1000.0,3.671818181818182,False,521.8664961101808,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f521p866_mh125_Glauber_C3p67182_Lambda1000,72.69528422606162,84.84833398126582,61.67512363280914,93.6999765624997,0.1432326267936805,139.9916417430699,232.7676163993408,-0.0003302032882029488,3.201963082990361,0.03665392685050741,1451.2749160702754,2.1817223565096944e-16,20.118070324728365,
1000.0,3.673939393939394,False,521.7158200579252,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f521p716_mh125_Glauber_C3p67394_Lambda1000,72.44305868759085,84.71875028317005,61.355216992184126,93.63626757812472,0.14489934701052656,139.9649230822171,232.94682443773823,-0.0002920055128760956,3.2155851596812948,0.037129865014189314,1425.2166037785798,2.344375903860433e-16,19.81135111804306,
