quantity,value
label,results_eft68_c6f22p95758_c8f45_f1000_mh125_Glauber_off
model_parameters.c6_over_f2_TeV2,2.9575757575757575
model_parameters.c8_over_f4_TeV4,5.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,False
model_parameters.C_glauber,0.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.16683928897679642
derived_tree_coefficients.mu2_tree_GeV2,-1418.9992851950274
derived_tree_coefficients.a0_mean_field,0.2518565440402555
derived_tree_coefficients.glauber_t0,0.0
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.16683928897679642
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,-1418.9992851950274
derived_tree_coefficients.combo_TeV2,6.822891515151515
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,73.03019704371683
key_temperatures.Tc,90.3319105345142
key_temperatures.Ts_false,41.937788476557266
key_temperatures.Ts_true,93.3789999999997
key_temperatures.S_at_Tn,10209.35614560373
key_temperatures.S_over_Tn,139.79636587167192
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-4.5197873110094174e-05
key_temperatures.phi_true_Tn,231.9832152831838
key_temperatures.vTn_over_Tn,3.176538263265477
key_temperatures.Tc_minus_Tn_over_Tc,0.19153490044015725
gw_scales.gw_T_star_GeV,73.03019704371683
gw_scales.gw_alpha,0.034645896492129076
gw_scales.gw_beta_over_H,556.1756178480977
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,7.760831545860945
gw_peaks.sw.f_peak_Hz,0.007760831545860945
gw_peaks.sw.omega_peak,1.2713310591620762e-15
gw_peaks.turb.f_peak_mHz,13.287283363484955
gw_peaks.turb.f_peak_Hz,0.013287283363484954
gw_peaks.turb.omega_peak,9.237509535049668e-20
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,7.760831545860945
gw_peaks.total.f_peak_Hz,0.007760831545860945
gw_peaks.total.omega_peak,1.271411961529932e-15
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,10211.1322169753
S3_over_T,139.82068555645253
bounce_diagnostics.label,results_eft68_c6f22p95758_c8f45_f1000_mh125_Glauber_off
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-4.5197873110094174e-05
bounce_diagnostics.phi_absMin,231.9832152831838
bounce_diagnostics.phi_bar,116.88611054961915
bounce_diagnostics.phi_top,79.3236562940852
bounce_diagnostics.V(phi_meta),-72439504.79666969
bounce_diagnostics.V(phi_true),-89988430.61380816
bounce_diagnostics.V(phi_top),-71072390.03656311
bounce_diagnostics.DeltaV_true_minus_meta,-17548925.817138463
bounce_diagnostics.r0,2.769649804900009e-06
bounce_diagnostics.phi0,225.02055050068185
bounce_diagnostics.dphi0,-0.06048152752862065
bounce_diagnostics.rscale_cubic,0.02769649804900009
bounce_diagnostics.rscale_curv,0.026546709700219485
bounce_diagnostics.wall_r_hi,0.10942879093280418
bounce_diagnostics.wall_thickness,0.07734938174648232
bounce_diagnostics.S_total,10211.1322169753
bounce_diagnostics.S_kin,15324.406297622312
bounce_diagnostics.S_pot,-5113.274080647011
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,36.10564766097216
bounce_diagnostics.beta_curvature,37.66945478993808
bounce_diagnostics.beta_wall,12.928351557838765
bounce_diagnostics.Tn_from_transitionFinder_GeV,73.03019704371683
bounce_diagnostics.Tc_from_transitionFinder_GeV,90.3319105345142
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
bounce_diagnostics.gw_T_star_GeV,73.03019704371683
bounce_diagnostics.gw_alpha,0.034645896492129076
bounce_diagnostics.gw_beta_over_H,556.1756178480977
bounce_diagnostics.gw_R_star_times_H,nan
bounce_diagnostics.gw_Gamma_Tstar_GeV4,nan
bounce_diagnostics.gw_dT_for_beta_GeV,nan
bounce_diagnostics.gw_f_sw_peak_Hz,nan
bounce_diagnostics.gw_f_turb_peak_Hz,nan
bounce_diagnostics.gw_f_coll_peak_Hz,nan
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,nan
bounce_diagnostics.omega_turb_peak,nan
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,nan
