run,Lambda_GeV,C,selection_index,omega_peak_no_daisy,omega_peak_with_daisy,relative_peak_difference
run03,1000.0,3.64,1,8.547014422608517e-17,6.396870532950123e-17,-0.2515666621517386
run03,1000.0,3.828787878787879,2,1.135829328971123e-12,2.340718586233552e-12,1.0608013251021289
run03,1000.0,3.8393939393939394,3,3.1365353294140447e-11,1.0397419656998728e-11,-0.6685062157759551
run03,2000.0,6.23,1,1.4560885514039408e-17,1.1816552582893168e-17,-0.18847294201305212
run03,2000.0,6.442121212121212,2,2.0559098519302236e-16,1.707502851124758e-16,-0.1694660884466107
run03,2000.0,6.65,3,2.362165559940077e-14,6.509663647837646e-15,-0.7244196698895745
