quantity,value
label,results_eft68_c6f22p8404_c8f45_f1000_mh125_Glauber_off
model_parameters.c6_over_f2_TeV2,2.8404040404040405
model_parameters.c8_over_f4_TeV4,5.0
model_parameters.f_GeV,1000.0
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,False
model_parameters.C_glauber,0.0
model_parameters.Lambda_glauber,1000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,-0.15620314352225093
derived_tree_coefficients.mu2_tree_GeV2,-1097.1707960313897
derived_tree_coefficients.a0_mean_field,0.25717461676752823
derived_tree_coefficients.glauber_t0,0.0
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-0.15620314352225093
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,-1097.1707960313897
derived_tree_coefficients.combo_TeV2,6.588548080808081
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10, 1000.0)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,False
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,78.7954292926086
key_temperatures.Tc,92.73440164858667
key_temperatures.Ts_false,53.334061328120704
key_temperatures.Ts_true,94.45183984374967
key_temperatures.S_at_Tn,11031.501868798827
key_temperatures.S_over_Tn,140.00179918854298
key_temperatures.false_phase_key,2
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-4.629920237999899e-05
key_temperatures.phi_true_Tn,227.22068590546002
key_temperatures.vTn_over_Tn,2.8836785070574447
key_temperatures.Tc_minus_Tn_over_Tc,0.15031069493281737
gw_scales.gw_T_star_GeV,78.7954292926086
gw_scales.gw_alpha,0.025509559928206724
gw_scales.gw_beta_over_H,1002.7285569649702
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,15.25760047357916
gw_peaks.sw.f_peak_Hz,0.01525760047357916
gw_peaks.sw.omega_peak,1.6658768842021902e-16
gw_peaks.turb.f_peak_mHz,25.724204392561013
gw_peaks.turb.f_peak_Hz,0.025724204392561015
gw_peaks.turb.omega_peak,1.2104111651807083e-20
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,15.25760047357916
gw_peaks.total.f_peak_Hz,0.01525760047357916
gw_peaks.total.omega_peak,1.66598344149011e-16
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,11033.40504299998
S3_over_T,140.0259525463994
bounce_diagnostics.label,results_eft68_c6f22p8404_c8f45_f1000_mh125_Glauber_off
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-4.629920237999899e-05
bounce_diagnostics.phi_absMin,227.22068590546002
bounce_diagnostics.phi_bar,116.25271791548818
bounce_diagnostics.phi_top,77.9455083302035
bounce_diagnostics.V(phi_meta),-98499768.51556419
bounce_diagnostics.V(phi_true),-113100133.73540707
bounce_diagnostics.V(phi_top),-97246263.47603141
bounce_diagnostics.DeltaV_true_minus_meta,-14600365.219842881
bounce_diagnostics.r0,2.842187233201158e-06
bounce_diagnostics.phi0,221.1469618208826
bounce_diagnostics.dphi0,-0.047740241155934914
bounce_diagnostics.rscale_cubic,0.028421872332011575
bounce_diagnostics.rscale_curv,0.027073904865406458
bounce_diagnostics.wall_r_hi,0.11730258677124576
bounce_diagnostics.wall_thickness,0.08114828578813757
bounce_diagnostics.S_total,11033.40504299998
bounce_diagnostics.S_kin,16550.175711549036
bounce_diagnostics.S_pot,-5516.77066854905
bounce_diagnostics.S_interior,0.0
