run,c8_over_f4_TeV4,include_daisy,c6_over_f2_TeV2,beta_over_H_raw,beta_over_H_best_fit,fit_degree
run05,0.0,False,3.2,1201.3729429315445,1156.9059770633255,1
run05,0.0,False,3.204040404040404,1036.2307810444615,1142.5921105117573,1
run05,0.0,False,3.2080808080808083,1107.7892565634024,1128.4553428599381,1
run05,0.0,False,3.2121212121212124,1072.4113038193532,1114.4934829444903,1
run05,0.0,False,3.2161616161616164,922.0503992952612,1100.7043667122823,1
run05,0.0,False,3.2202020202020205,1205.0139601628823,1087.0858568850242,1
run05,0.0,False,3.224242424242425,1292.3430667498224,1073.6358426279874,1
run05,0.0,False,3.2282828282828286,1050.995240786309,1060.3522392228365,1
run05,0.0,False,3.2323232323232327,1058.952564702359,1047.2329877444913,1
run05,0.0,False,3.2363636363636363,1020.9154222601028,1034.276054742014,1
run05,0.0,False,3.2404040404040404,1192.5888652701958,1021.4794319234152,1
run05,0.0,False,3.2444444444444445,943.7988203751904,1008.8411358443852,1
run05,0.0,False,3.2484848484848485,996.7817503274432,996.3592076008597,1
run05,0.0,False,3.2525252525252526,1044.6867380682718,984.0317125253921,1
run05,0.0,False,3.2565656565656567,968.6041513353748,971.8567398872908,1
run05,0.0,False,3.2606060606060607,994.9745220929718,959.832402596458,1
run05,0.0,False,3.264646464646465,1077.1797210340187,947.9568369108924,1
run05,0.0,False,3.268686868686869,1063.7823343917507,936.2282021478198,1
run05,0.0,False,3.272727272727273,966.9377212919628,924.6446803983881,1
run05,0.0,False,3.276767676767677,932.370978809587,913.2044762458976,1
run05,0.0,False,3.280808080808081,934.8021771855622,901.9058164875125,1
run05,0.0,False,3.284848484848485,966.0473771297262,890.7469498594245,1
run05,0.0,False,3.288888888888889,1029.7593255827096,879.7261467654076,1
run05,0.0,False,3.2929292929292933,885.8043333625383,868.8416990087364,1
run05,0.0,False,3.2969696969696973,969.6735014228487,858.0919195274173,1
run05,0.0,False,3.3010101010101014,746.3190550337372,847.4751421327024,1
run05,0.0,False,3.305050505050505,575.2741831913445,836.9897212508334,1
run05,0.0,False,3.309090909090909,767.6069788810645,826.6340316679756,1
run05,0.0,False,3.313131313131313,903.8453018164934,816.4064682783247,1
run05,0.0,False,3.317171717171717,736.499526917882,806.3054458353097,1
run05,0.0,False,3.3212121212121213,661.2498962602706,796.32939870589,1
run05,0.0,False,3.3252525252525253,957.6337092576732,786.4767806278837,1
run05,0.0,False,3.3292929292929294,563.3239871799798,776.7460644702992,1
run05,0.0,False,3.333333333333333,793.6851598343371,767.1357419966387,1
run05,0.0,False,3.337373737373737,688.810426664285,757.6443236311177,1
run05,0.0,False,3.3414141414141416,751.3416858884317,748.2703382277924,1
run05,0.0,False,3.3454545454545457,696.5353187123901,739.0123328425329,1
run05,0.0,False,3.3494949494949497,660.5885842352753,729.8688725078183,1
run05,0.0,False,3.353535353535354,715.9589008343871,720.8385400103225,1
run05,0.0,False,3.357575757575758,873.4081083188414,711.9199356712501,1
run05,0.0,False,3.361616161616162,564.8244695476379,703.1116771293866,1
run05,0.0,False,3.3656565656565656,526.0493532965096,694.4123991268419,1
run05,0.0,False,3.3696969696969696,762.9427544662021,685.8207532974303,1
run05,0.0,False,3.3737373737373737,826.0293401921406,677.3354079576858,1
run05,0.0,False,3.3777777777777778,760.1077257781695,668.9550479004497,1
run05,0.0,False,3.381818181818182,608.6836346429839,660.6783741910162,1
run05,0.0,False,3.385858585858586,676.2270489083899,652.5041039658041,1
run05,0.0,False,3.38989898989899,585.2579746638801,644.4309702335134,1
run05,0.0,False,3.393939393939394,402.5763440417525,636.457721678747,1
run05,0.0,False,3.397979797979798,437.1356622020481,628.5831224680563,1
run05,0.0,False,3.402020202020202,641.6452920400742,620.8059520583951,1
run05,0.0,False,3.4060606060606062,666.8053449568346,613.1250050079352,1
run05,0.0,False,3.4101010101010103,803.5647027748827,605.5390907892258,1
run05,0.0,False,3.4141414141414144,504.170053660791,598.0470336046671,1
run05,0.0,False,3.4181818181818184,422.967044616693,590.6476722042624,1
run05,0.0,False,3.4222222222222225,516.1949939394859,583.3398597056292,1
run05,0.0,False,3.4262626262626266,803.3659498136032,576.1224634162321,1
run05,0.0,False,3.43030303030303,542.417427533844,568.9943646578233,1
run05,0.0,False,3.4343434343434343,165.2656700694545,561.9544585930439,1
run05,0.0,False,3.4383838383838383,756.7596487851725,555.0016540541833,1
run05,0.0,False,3.4424242424242424,865.0890795525446,548.1348733740476,1
run05,0.0,False,3.4464646464646465,598.4651950057014,541.3530522189232,1
run05,0.0,False,3.4505050505050505,577.2069691736472,534.6551394236097,1
run05,0.0,False,3.4545454545454546,510.7943803617681,528.0400968284914,1
run05,0.0,False,3.4585858585858587,788.7186431128442,521.506899118625,1
run05,0.0,False,3.4626262626262627,519.3130719335977,515.0545336648172,1
run05,0.0,False,3.466666666666667,283.37140147556045,508.68200036667173,1
run05,0.0,False,3.470707070707071,638.8235175281261,502.3883114975754,1
run05,0.0,False,3.474747474747475,234.81151581150067,496.1724915516033,1
run05,0.0,False,3.478787878787879,581.3723357685229,490.0335770923161,1
