run,Lambda_GeV,include_daisy,C,beta_over_H_raw,beta_over_H_best_fit,fit_degree
run03,1000.0,False,3.64,1820.101925276132,1768.3037975574755,3
run03,1000.0,False,3.642121212121212,1831.339825976843,1744.2090449793245,3
run03,1000.0,False,3.644242424242425,1783.2425160351638,1720.6849612912029,3
run03,1000.0,False,3.646363636363637,1709.044822862033,1697.697052269774,3
run03,1000.0,False,3.648484848484848,1595.373100726379,1675.2123183389456,3
run03,1000.0,False,3.650606060606061,1568.980624208545,1653.199181563732,3
run03,1000.0,False,3.652727272727273,1521.7232248833784,1631.6274182631971,3
run03,1000.0,False,3.654848484848485,1686.1494871760335,1610.4680968766347,3
run03,1000.0,False,3.656969696969697,1522.2301517797468,1589.6935207425615,3
run03,1000.0,False,3.659090909090909,1673.8349156173483,1569.2771754720252,3
run03,1000.0,False,3.661212121212121,1544.3533955990292,1549.1936806183555,3
run03,1000.0,False,3.6633333333333336,1503.9383490077494,1529.4187453640382,3
run03,1000.0,False,3.6654545454545455,1400.9601811707976,1509.9291279619754,3
run03,1000.0,False,3.6675757575757575,1454.2553204584697,1490.7025986835454,3
run03,1000.0,False,3.66969696969697,1487.771009334729,1471.7179060396074,3
run03,1000.0,False,3.671818181818182,1451.2749160702754,1452.9547460527895,3
run03,1000.0,False,3.673939393939394,1425.2166037785798,1434.3937343704463,3
run03,1000.0,False,3.6760606060606063,1374.865699206154,1416.0163810177085,3
run03,1000.0,False,3.678181818181818,1436.4745290283047,1397.8050675988766,3
run03,1000.0,False,3.680303030303031,1386.9241966475674,1379.7430267633642,3
run03,1000.0,False,3.6824242424242426,1396.8611156037127,1361.8143237597076,3
run03,1000.0,False,3.684545454545455,1441.942923035235,1344.0038399072662,3
run03,1000.0,False,3.686666666666667,1363.3378588938072,1326.2972578213823,3
run03,1000.0,False,3.688787878787879,1366.756145322938,1308.6810482323956,3
run03,1000.0,False,3.690909090909091,1122.6371468815323,1291.1424582440004,3
run03,1000.0,False,3.6951515151515153,1235.610530691114,1256.2509457744004,3
run03,1000.0,False,3.6972727272727273,1224.3734227206485,1238.8763108564979,3
run03,1000.0,False,3.69939393939394,1179.8569775309677,1221.5358548991203,3
run03,1000.0,False,3.701515151515152,1174.0699423960518,1204.2205707846738,3
run03,1000.0,False,3.703636363636364,1182.4605747101036,1186.9221793595752,3
run03,1000.0,False,3.705757575757576,1191.465418596733,1169.6331237441052,3
run03,1000.0,False,3.707878787878788,1131.0480994707605,1152.3465639690912,3
run03,1000.0,False,3.71,1126.9348192267043,1135.0563718135231,3
run03,1000.0,False,3.712121212121213,1109.5414476591543,1117.757125720016,3
run03,1000.0,False,3.714242424242424,1152.1943749176487,1100.444105668029,3
run03,1000.0,False,3.716363636363636,1246.0666939760424,1083.113287887717,3
run03,1000.0,False,3.7184848484848487,1165.2058473012492,1065.7613393009967,3
run03,1000.0,False,3.7206060606060607,1062.7173855004487,1048.385611579531,3
run03,1000.0,False,3.7227272727272727,1037.4129892593064,1030.984134713456,3
run03,1000.0,False,3.724848484848485,996.5115517633928,1013.5556099888637,3
run03,1000.0,False,3.726969696969697,989.6685722678646,996.0994022764196,3
run03,1000.0,False,3.729090909090909,742.5219322175635,978.6155315383933,3
run03,1000.0,False,3.7312121212121214,805.873284699274,961.1046634667451,3
run03,1000.0,False,3.733333333333333,852.2030896760217,943.5680991704561,3
run03,1000.0,False,3.735454545454546,810.0437925737509,926.0077638363402,3
run03,1000.0,False,3.7375757575757578,927.2444720141236,908.4261942943141,3
run03,1000.0,False,3.7396969696969697,911.5790892913247,890.8265254246095,3
run03,1000.0,False,3.741818181818182,747.4802693902493,873.2124753522271,3
run03,1000.0,False,3.743939393939394,867.90036409221,855.5883293813794,3
run03,1000.0,False,3.746060606060606,925.0452945471916,837.9589226309329,3
run03,1000.0,False,3.7503030303030314,805.4579108018037,802.7063028257459,3
run03,1000.0,False,3.7524242424242416,797.670222861638,785.0953340704286,3
run03,1000.0,False,3.754545454545455,626.8456299727371,767.5035489528502,3
run03,1000.0,False,3.756666666666667,791.3217428333421,749.9382241137625,3
run03,1000.0,False,3.758787878787879,691.4878398994636,732.4070534826502,3
run03,1000.0,False,3.760909090909091,601.8119946368354,714.9181214901313,3
run03,1000.0,False,3.763030303030303,656.9362730507584,697.4798750039097,3
run03,1000.0,False,3.765151515151515,676.8177456546074,680.1010940362928,3
run03,1000.0,False,3.767272727272728,651.0103832705714,662.7908612816177,3
run03,1000.0,False,3.76939393939394,508.4968175917647,645.5585305521056,3
run03,1000.0,False,3.771515151515152,648.4695727450572,628.4136941906187,3
run03,1000.0,False,3.773636363636364,639.2123023861203,611.3661495488503,3
run03,1000.0,False,3.775757575757576,571.4830459505553,594.425864628735,3
run03,1000.0,False,3.777878787878788,580.0445296950987,577.6029429940984,3
run03,1000.0,False,3.78,619.9634674230765,560.9075880681809,3
run03,1000.0,False,3.782121212121212,510.8002288820733,544.3500669407152,3
run03,1000.0,False,3.784242424242424,447.6218427353325,527.9406738157383,3
run03,1000.0,False,3.7863636363636366,497.1436744066698,511.68969323796136,3
run03,1000.0,False,3.788484848484849,487.98034209802427,495.6073632416287,3
run03,1000.0,False,3.790606060606061,674.0703350979705,479.70383857073165,3
run03,1000.0,False,3.792727272727273,441.418344033328,463.98915412376044,3
run03,1000.0,False,3.794848484848485,492.3315535965073,448.47318877935083,3
run03,1000.0,False,3.796969696969697,425.1893664446508,433.1656297613414,3
run03,1000.0,False,3.799090909090909,362.7016597656976,418.0759377028902,3
run03,1000.0,False,3.801212121212121,407.11262582696384,403.21331256928727,3
run03,1000.0,False,3.8033333333333337,464.2106545058884,388.5866605979232,3
run03,1000.0,False,3.8054545454545456,382.9858282884804,374.2045624116081,3
run03,1000.0,False,3.8075757575757576,424.1902354348734,360.0752424577992,3
run03,1000.0,False,3.8096969696969696,429.4097885636437,346.206539921825,3
run03,1000.0,False,3.811818181818182,422.40532064046,332.60588125614504,3
run03,1000.0,False,3.813939393939394,288.0126264024436,319.2802544608199,3
run03,1000.0,False,3.8160606060606064,309.1860360324196,306.2361852421673,3
run03,1000.0,False,3.8181818181818175,373.2779673015921,293.4797151675255,3
run03,1000.0,False,3.8203030303030303,292.4870318276499,281.0163819236535,3
run03,1000.0,False,3.8224242424242423,278.17551470642366,268.851201775458,3
run03,1000.0,False,3.824545454545455,247.49309876725317,256.9886543093073,3
run03,1000.0,False,3.826666666666666,202.16416010739144,245.43266953285803,3
run03,1000.0,False,3.828787878787879,235.77528124342703,234.1866173893693,3
run03,1000.0,False,3.830909090909091,231.9554514156792,223.2532997308662,3
run03,1000.0,False,3.833030303030303,207.02545346431123,212.63494477947106,3
run03,1000.0,False,3.837272727272728,108.61797714994974,192.34915202556013,3
run03,1000.0,False,3.8393939393939394,84.08844973995855,182.68328769353224,3
run03,1000.0,False,3.841515151515152,41.707835412952456,173.33553937251523,3
run03,1000.0,False,3.843636363636364,90.19500649404696,164.30527132279812,3
run03,1000.0,True,3.64,1913.8827302108489,1897.058627930355,3
run03,1000.0,True,3.642121212121212,1887.025337754222,1858.2482001477163,3
run03,1000.0,True,3.644242424242425,1764.0372274696126,1821.1074597587285,3
run03,1000.0,True,3.646363636363637,1756.065292986302,1785.534928969084,3
run03,1000.0,True,3.648484848484848,1734.1656658625766,1751.4352723457646,3
run03,1000.0,True,3.650606060606061,1693.3889290787934,1718.7188397193954,3
run03,1000.0,True,3.652727272727273,1698.22917262974,1687.3012472437958,3
run03,1000.0,True,3.656969696969697,1613.2034022152625,1628.0491062966034,3
run03,1000.0,True,3.659090909090909,1602.819309777362,1600.0688215469063,3
run03,1000.0,True,3.661212121212121,1553.5725955313046,1573.095284973605,3
run03,1000.0,True,3.6633333333333336,1501.2952773856748,1547.0652812307978,3
run03,1000.0,True,3.6654545454545455,1595.1633760546283,1521.9189843532406,3
run03,1000.0,True,3.66969696969697,1517.5086308212396,1474.053801149144,3
run03,1000.0,True,3.671818181818182,1580.8569201173696,1451.2302452238957,3
run03,1000.0,True,3.673939393939394,1450.9351027684024,1429.0806888071706,3
run03,1000.0,True,3.6760606060606063,1517.8542093025435,1407.559181171226,3
run03,1000.0,True,3.678181818181818,1371.826973447104,1386.622045999424,3
run03,1000.0,True,3.680303030303031,1377.9504095814707,1366.2277467544363,3
run03,1000.0,True,3.6824242424242426,1125.578725740875,1346.3367638126408,3
run03,1000.0,True,3.686666666666667,1363.1348422482977,1307.9160911625208,3
run03,1000.0,True,3.688787878787879,1128.2969391172676,1289.3164887238504,3
run03,1000.0,True,3.690909090909091,1276.8767988046222,1271.0802007261534,3
run03,1000.0,True,3.6930303030303033,1311.9799624179225,1253.1763035423564,3
run03,1000.0,True,3.6951515151515153,1307.465398603931,1235.5753559795546,3
run03,1000.0,True,3.6972727272727273,1155.0290030929964,1218.2493377899327,3
run03,1000.0,True,3.701515151515152,1225.1040034667703,1184.3167885515516,3
run03,1000.0,True,3.703636363636364,1165.095020316599,1167.6608548777936,3
run03,1000.0,True,3.705757575757576,1149.0498461316038,1151.1809628576864,3
run03,1000.0,True,3.707878787878788,1223.9957967208354,1134.8554818688317,3
run03,1000.0,True,3.71,1119.935735877412,1118.6639514730346,3
run03,1000.0,True,3.712121212121213,1027.4087150420337,1102.5870553873997,3
run03,1000.0,True,3.714242424242424,1082.5912660271513,1086.6065989501208,3
run03,1000.0,True,3.716363636363636,1190.3859767034269,1070.7054897344897,3
run03,1000.0,True,3.7184848484848487,1039.672933696328,1054.8677209756945,3
run03,1000.0,True,3.7206060606060607,1066.8833535401063,1039.0783574838724,3
run03,1000.0,True,3.7227272727272727,1036.8436607106328,1023.3235237253041,3
run03,1000.0,True,3.724848484848485,1044.7835351405388,1007.590393760928,3
run03,1000.0,True,3.726969696969697,917.0668432950724,991.86718273774,3
run03,1000.0,True,3.729090909090909,950.5905239006604,976.1431396347444,3
run03,1000.0,True,3.7312121212121214,950.9337760551778,960.4085409708835,3
run03,1000.0,True,3.733333333333333,972.7877301349586,944.6546851878875,3
run03,1000.0,True,3.735454545454546,1083.202812298329,928.8738874265811,3
run03,1000.0,True,3.7375757575757578,936.5139494785072,913.059474421233,3
run03,1000.0,True,3.7396969696969697,919.835353348264,897.2057792424299,3
run03,1000.0,True,3.741818181818182,887.2199641599939,881.3081356261255,3
run03,1000.0,True,3.743939393939394,806.5440644493856,865.3628716337004,3
run03,1000.0,True,3.746060606060606,728.9224061132438,849.3673023962438,3
run03,1000.0,True,3.7481818181818185,630.059069363495,833.319721705595,3
run03,1000.0,True,3.7503030303030314,699.9722012176073,817.2193922248623,3
run03,1000.0,True,3.7524242424242416,782.8829678109649,801.0665341026844,3
run03,1000.0,True,3.754545454545455,619.8361372123576,784.862311788034,3
run03,1000.0,True,3.756666666666667,853.4489359945236,768.6088188568481,3
run03,1000.0,True,3.758787878787879,653.2105598784619,752.3090606762885,3
run03,1000.0,True,3.760909090909091,790.6756777092336,735.9669347501197,3
run03,1000.0,True,3.763030303030303,711.6941824156437,719.5872086061815,3
run03,1000.0,True,3.765151515151515,719.2294269601499,703.1754951066961,3
run03,1000.0,True,3.767272727272728,739.8435758050847,686.7382250830601,3
run03,1000.0,True,3.76939393939394,751.801274621703,670.2826172188788,3
run03,1000.0,True,3.773636363636364,550.2426294368731,637.3490016014828,3
run03,1000.0,True,3.775757575757576,523.2752079606513,620.8890600140696,3
run03,1000.0,True,3.777878787878788,620.1697361652663,604.4468329244089,3
run03,1000.0,True,3.78,683.1762944393514,588.032927908691,3
run03,1000.0,True,3.782121212121212,538.359753703612,571.6585007120348,3
run03,1000.0,True,3.784242424242424,529.5858827117262,555.3352058210862,3
run03,1000.0,True,3.7863636363636366,582.146564206738,539.0751445914175,3
run03,1000.0,True,3.788484848484849,459.4385471060605,522.8908110906558,3
run03,1000.0,True,3.790606060606061,482.46836660847,506.7950358451403,3
run03,1000.0,True,3.792727272727273,498.6403162652332,490.800927704283,3
run03,1000.0,True,3.794848484848485,524.4607629257843,474.9218140620276,3
run03,1000.0,True,3.796969696969697,654.447895252441,459.17117969863335,3
run03,1000.0,True,3.799090909090909,234.89366782146467,443.562604528358,3
run03,1000.0,True,3.801212121212121,446.74377301108353,428.10970055894956,3
run03,1000.0,True,3.8033333333333337,444.5453108334192,412.8260483870711,3
run03,1000.0,True,3.8054545454545456,462.0850877650137,397.7251335695428,3
run03,1000.0,True,3.8075757575757576,387.543921477653,382.8202832232268,3
run03,1000.0,True,3.8096969696969696,399.4925107244948,368.12460321668954,3
run03,1000.0,True,3.811818181818182,337.1833577868557,353.65091632353534,3
run03,1000.0,True,3.813939393939394,339.3973863721721,339.4117017111018,3
run03,1000.0,True,3.8160606060606064,294.618950505909,325.4190361382886,3
run03,1000.0,True,3.8181818181818175,312.67802210063894,311.68453723302764,3
run03,1000.0,True,3.8203030303030303,297.8370087318798,298.219309212648,3
run03,1000.0,True,3.8224242424242423,288.0628735750695,285.0338913999911,3
run03,1000.0,True,3.824545454545455,272.15192989135056,272.13820987329103,3
run03,1000.0,True,3.826666666666666,237.43409106370925,259.54153257034346,3
run03,1000.0,True,3.828787878787879,145.93099780296131,247.25242814549838,3
run03,1000.0,True,3.830909090909091,148.36097095397824,235.2787288536614,3
run03,1000.0,True,3.833030303030303,131.01304268068506,223.62749770698582,3
run03,1000.0,True,3.835151515151515,135.9489409807395,212.30500011952174,3
run03,1000.0,True,3.8393939393939394,125.87566905771772,190.6671419875202,3
run03,2000.0,False,6.23,2653.2093536406646,2770.8386380527245,3
run03,2000.0,False,6.234242424242424,2629.217442527062,2726.701803391259,3
run03,2000.0,False,6.238484848484849,2623.541049964892,2683.7932833092204,3
run03,2000.0,False,6.246969696969697,2657.306054324868,2601.4568812431503,3
run03,2000.0,False,6.251212121212122,2735.612309657803,2561.9322805023808,3
run03,2000.0,False,6.255454545454546,2662.0315203567907,2523.4423398101712,3
run03,2000.0,False,6.25969696969697,2663.663064794626,2485.943656528214,3
run03,2000.0,False,6.263939393939395,2364.142365749622,2449.3946367256217,3
run03,2000.0,False,6.2681818181818185,2391.8364947982127,2413.7554071277564,3
run03,2000.0,False,6.2724242424242425,2323.721336395877,2378.9877321291383,3
run03,2000.0,False,6.276666666666667,2291.823299335062,2345.054935570298,3
run03,2000.0,False,6.285151515151515,2283.729169596455,2279.5546321437464,3
run03,2000.0,False,6.28939393939394,2244.725374271233,2247.9209273815704,3
run03,2000.0,False,6.297878787878789,2190.364215933634,2186.730679546687,3
run03,2000.0,False,6.302121212121213,2145.672328443484,2157.1155036476857,3
run03,2000.0,False,6.306363636363637,2118.0747643144687,2128.116445428554,3
run03,2000.0,False,6.310606060606061,2093.942853348982,2099.7069750440196,3
run03,2000.0,False,6.319090909090909,2075.6895608401014,2044.5557794121055,3
run03,2000.0,False,6.327575757575758,1925.2143963040896,1991.469491280373,3
run03,2000.0,False,6.331818181818182,1976.349811070425,1965.6445546659702,3
run03,2000.0,False,6.336060606060607,1982.1348394879883,1940.270197539354,3
run03,2000.0,False,6.340303030303031,1870.335297177393,1915.3262625216803,3
run03,2000.0,False,6.344545454545455,1887.9734784751104,1890.7933647035259,3
run03,2000.0,False,6.34878787878788,1853.9048154991372,1866.652862954232,3
run03,2000.0,False,6.353030303030304,1846.8017721049748,1842.8868328943356,3
run03,2000.0,False,6.357272727272727,1808.546080515813,1819.478041438021,3
run03,2000.0,False,6.361515151515152,1845.945096741012,1796.4099228176583,3
run03,2000.0,False,6.365757575757576,1747.8712462069336,1773.6665560068627,3
run03,2000.0,False,6.37,1804.313819449372,1751.2326434626657,3
run03,2000.0,False,6.374242424242425,2061.9147285336744,1729.0934911115623,3
run03,2000.0,False,6.378484848484849,1666.912023863091,1707.2349895077077,3
run03,2000.0,False,6.382727272727273,1697.4192742146856,1685.643596094882,3
run03,2000.0,False,6.391212121212122,1569.1222551742758,1643.2106988465307,3
run03,2000.0,False,6.3954545454545455,2115.270990580439,1622.3447988765763,3
run03,2000.0,False,6.403939393939394,1632.282054547441,1581.2569205081331,3
run03,2000.0,False,6.408181818181818,1526.357610733195,1561.0135424164453,3
run03,2000.0,False,6.412424242424243,1635.0435935094845,1540.9570605608128,3
run03,2000.0,False,6.416666666666667,1532.9579079190787,1521.0779411811031,3
run03,2000.0,False,6.420909090909091,1644.1470362190648,1501.3670975808618,3
run03,2000.0,False,6.425151515151516,1487.6609723973716,1481.8158802735038,3
run03,2000.0,False,6.433636363636364,1358.5373192499214,1443.1598571253164,3
run03,2000.0,False,6.437878787878788,1325.5210854288227,1424.0398567273414,3
run03,2000.0,False,6.442121212121212,1418.231307835254,1405.0490770834597,3
run03,2000.0,False,6.446363636363637,1472.3381326558067,1386.1809237735238,3
run03,2000.0,False,6.450606060606061,1401.8450756818622,1367.4291900095611,3
run03,2000.0,False,6.454848484848485,1330.6061712574242,1348.7880496084076,3
run03,2000.0,False,6.45909090909091,1628.691242758014,1330.2520502234765,3
run03,2000.0,False,6.463333333333334,1283.237952061275,1311.816106803019,3
run03,2000.0,False,6.467575757575758,1322.2182791202758,1293.4754952433361,3
run03,2000.0,False,6.471818181818183,1257.559291571795,1275.225846206558,3
run03,2000.0,False,6.476060606060607,1157.3887834407583,1257.0631390736248,3
run03,2000.0,False,6.480303030303031,1195.5795555383374,1238.9836960040882,3
run03,2000.0,False,6.488787878787879,1199.676574916199,1203.0615694761048,3
run03,2000.0,False,6.493030303030303,1176.233500695055,1185.2131917257639,3
run03,2000.0,False,6.497272727272728,1149.487226938234,1167.436677900712,3
run03,2000.0,False,6.501515151515152,1131.5629280982598,1149.7299768393405,3
run03,2000.0,False,6.505757575757576,1149.2977282441857,1132.0913453067878,3
run03,2000.0,False,6.510000000000001,1094.9938056857984,1114.5193420975434,3
run03,2000.0,False,6.514242424242425,1071.257418335816,1097.0128220562142,3
run03,2000.0,False,6.522727272727273,1092.322737985974,1062.193094509706,3
run03,2000.0,False,6.531212121212121,996.4853119690862,1027.6286883160863,3
run03,2000.0,False,6.535454545454546,1037.347667322256,1010.4423358986478,3
run03,2000.0,False,6.53969696969697,1068.7006821668158,993.3204631622782,3
run03,2000.0,False,6.543939393939394,995.2653333050872,976.2638193867222,3
run03,2000.0,False,6.548181818181819,998.9814197325468,959.2733971318133,3
run03,2000.0,False,6.552424242424243,928.1034797416507,942.3504248264155,3
run03,2000.0,False,6.556666666666667,928.5961506060452,925.496359144239,3
run03,2000.0,False,6.560909090909092,871.6009208627138,908.712877160731,3
run03,2000.0,False,6.565151515151515,876.5968515393822,892.0018682866036,3
run03,2000.0,False,6.56939393939394,911.8638162735616,875.3654259748934,3
run03,2000.0,False,6.573636363636364,963.2236710434298,858.8058392002512,3
run03,2000.0,False,6.577878787878788,845.7151648413586,842.3255837101595,3
run03,2000.0,False,6.582121212121212,841.5204679742891,825.9273130496833,3
run03,2000.0,False,6.586363636363637,681.4621748271795,809.6138493625842,3
run03,2000.0,False,6.590606060606061,937.3060733269843,793.3881739732515,3
run03,2000.0,False,6.594848484848486,769.039642182212,777.2534177553039,3
run03,2000.0,False,6.59909090909091,817.0301539656249,761.2128512943236,3
run03,2000.0,False,6.6033333333333335,779.9945547023341,745.2698748534901,3
run03,2000.0,False,6.607575757575758,676.7097625982951,729.4280081524984,3
run03,2000.0,False,6.611818181818182,726.6436884151589,713.6908799714784,3
run03,2000.0,False,6.616060606060606,814.7312037781967,698.0622175930314,3
run03,2000.0,False,6.620303030303031,705.5155846479811,682.5458360969445,3
run03,2000.0,False,6.624545454545455,628.5282755764925,667.1456275234076,3
run03,2000.0,False,6.628787878787879,593.029557448851,651.8655499218087,3
run03,2000.0,False,6.633030303030304,608.6448080325392,636.7096163035253,3
run03,2000.0,False,6.637272727272728,644.3708143694878,621.6818835181825,3
run03,2000.0,False,6.641515151515152,642.204376743867,606.786441073978,3
run03,2000.0,False,6.65,402.4750143969413,577.4088812394655,3
run03,2000.0,True,6.23,2671.0831007490247,2677.036987718625,3
run03,2000.0,True,6.234242424242424,2639.2078066125864,2641.9802632404485,3
run03,2000.0,True,6.238484848484849,2665.232984641378,2607.6185936523725,3
run03,2000.0,True,6.242727272727273,2559.880185091963,2573.9263432058297,3
run03,2000.0,True,6.246969696969697,2551.24275866657,2540.8787915227967,3
run03,2000.0,True,6.255454545454546,2460.600644644032,2476.6232657065057,3
run03,2000.0,True,6.25969696969697,2417.673145663844,2445.3701127567315,3
run03,2000.0,True,6.263939393939395,2441.827785892,2414.6712376163323,3
run03,2000.0,True,6.2681818181818185,2362.142752338722,2384.505991714968,3
run03,2000.0,True,6.2724242424242425,2330.6242452514234,2354.8544512145877,3
run03,2000.0,True,6.276666666666667,2299.2417213166427,2325.697390550973,3
run03,2000.0,True,6.280909090909091,2311.1849169483894,2297.016257294232,3
run03,2000.0,True,6.285151515151515,2309.006236807022,2268.793148261987,3
run03,2000.0,True,6.293636363636364,2229.5567976695547,2213.652501328394,3
run03,2000.0,True,6.297878787878789,2138.0292884610103,2186.7022046229627,3
run03,2000.0,True,6.302121212121213,2249.220832585204,2160.144374567396,3
run03,2000.0,True,6.306363636363637,2097.067370630455,2133.9640355353267,3
run03,2000.0,True,6.310606060606061,2055.6934225302066,2108.1467408272747,3
run03,2000.0,True,6.314848484848485,2035.5776029866724,2082.6785559579644,3
