run,Lambda_GeV,C,observable,no_daisy,with_daisy,relative_difference
run03,1000.0,3.64,alpha,0.0307776561770419,0.0287579298386723,-0.06562313669213647
run03,1000.0,3.642121212121212,alpha,0.0311148787293425,0.0290654773864761,-0.06586563813066508
run03,1000.0,3.644242424242425,alpha,0.0314723824081189,0.0293930397589539,-0.0660688035052788
run03,1000.0,3.646363636363637,alpha,0.0318187766253531,0.0297230937413897,-0.0658630879696855
run03,1000.0,3.648484848484848,alpha,0.0321767790356686,0.0300493897777759,-0.06611566855509218
run03,1000.0,3.650606060606061,alpha,0.032543690815642,0.0304034556293505,-0.0657649803280088
run03,1000.0,3.652727272727273,alpha,0.0329094357549062,0.0307486895284601,-0.06565734649898916
run03,1000.0,3.656969696969697,alpha,0.0337054580723203,0.0314447237086724,-0.06707324252342593
run03,1000.0,3.659090909090909,alpha,0.0341019123393094,0.0318158157022038,-0.0670371976315946
run03,1000.0,3.661212121212121,alpha,0.034498649991983,0.0321958632919382,-0.06675005255509812
run03,1000.0,3.6633333333333336,alpha,0.0349142134723037,0.0325924717922565,-0.06649846721848575
run03,1000.0,3.6654545454545455,alpha,0.0353368788492497,0.032987936933381,-0.06647281798399621
run03,1000.0,3.66969696969697,alpha,0.036203093657265,0.0338032060870287,-0.06628957163042627
run03,1000.0,3.671818181818182,alpha,0.0366539268505074,0.0342422018814187,-0.06579717853764719
run03,1000.0,3.673939393939394,alpha,0.0371298650141893,0.0346701544566369,-0.066246148662604
run03,1000.0,3.6760606060606063,alpha,0.0376151147585825,0.0351124585937971,-0.06653325879364433
run03,1000.0,3.678181818181818,alpha,0.0380822152956622,0.0355690582581889,-0.06599293181769185
run03,1000.0,3.680303030303031,alpha,0.0385867108549339,0.036021331430355,-0.0664834956838742
run03,1000.0,3.6824242424242426,alpha,0.039098339272902,0.0365026923655187,-0.06638765112927118
run03,1000.0,3.686666666666667,alpha,0.0401644367932081,0.0374453653142521,-0.06769848393382188
run03,1000.0,3.688787878787879,alpha,0.0407137804574248,0.0379993073510329,-0.06667209666836209
run03,1000.0,3.690909090909091,alpha,0.0412769946003305,0.0385211686652248,-0.06676420998644199
run03,1000.0,3.6951515151515153,alpha,0.0424481023681635,0.0396011617019388,-0.06706873823315912
run03,1000.0,3.6972727272727273,alpha,0.0430520951549613,0.0401812636729894,-0.06668273568658283
run03,1000.0,3.701515151515152,alpha,0.044319792018146,0.0413617744617008,-0.06674258659052577
run03,1000.0,3.703636363636364,alpha,0.0449790945709606,0.0419655147690616,-0.0669995657014543
run03,1000.0,3.705757575757576,alpha,0.0456744591915318,0.0426114921354239,-0.06706082809352192
run03,1000.0,3.707878787878788,alpha,0.046341268198197,0.0432448128519347,-0.06681852842306925
run03,1000.0,3.71,alpha,0.0470738878104117,0.0439090109327331,-0.06723211157797339
run03,1000.0,3.712121212121213,alpha,0.0477906639928207,0.0445941726832593,-0.06688526675506307
run03,1000.0,3.714242424242424,alpha,0.0485492649846331,0.0452931986261875,-0.06706726372636573
run03,1000.0,3.716363636363636,alpha,0.0493630506377729,0.0460303386020791,-0.06751430457872862
run03,1000.0,3.7184848484848487,alpha,0.0501377205951155,0.0467911382067642,-0.06674779684095437
run03,1000.0,3.7206060606060607,alpha,0.0509804658210145,0.0475573181493935,-0.06714626115106932
run03,1000.0,3.7227272727272727,alpha,0.0518177201290861,0.0483557187364497,-0.06681114846450233
run03,1000.0,3.724848484848485,alpha,0.0526860984370018,0.0491852697841274,-0.06644691401965246
run03,1000.0,3.726969696969697,alpha,0.0535752061170733,0.0500057489305464,-0.06662516946228586
run03,1000.0,3.729090909090909,alpha,0.0545663145883272,0.0508727493725818,-0.06768947552370566
run03,1000.0,3.7312121212121214,alpha,0.0555419097230159,0.051794818676751,-0.06746420972831883
run03,1000.0,3.733333333333333,alpha,0.0565310071180287,0.0527158460647067,-0.06748793711310473
run03,1000.0,3.735454545454546,alpha,0.0575779105725438,0.0536638563462139,-0.06797839983092975
run03,1000.0,3.7375757575757578,alpha,0.0587023609829295,0.0546679285648584,-0.06872691916504516
run03,1000.0,3.7396969696969697,alpha,0.0598142074498107,0.0556800266107665,-0.06911703782940086
run03,1000.0,3.741818181818182,alpha,0.0609210509606703,0.0567432881957247,-0.06857666929683624
run03,1000.0,3.743939393939394,alpha,0.0621714685308462,0.0578385737239974,-0.06969265660339109
run03,1000.0,3.746060606060606,alpha,0.0634034498091975,0.0590412953761545,-0.06879995404304036
run03,1000.0,3.7503030303030314,alpha,0.0660343634200079,0.0614769952821281,-0.06901509913698897
run03,1000.0,3.7524242424242416,alpha,0.0674152051027527,0.0627858845582187,-0.0686687897408026
run03,1000.0,3.754545454545455,alpha,0.0688920337319581,0.0641494116673306,-0.06884137116752674
run03,1000.0,3.756666666666667,alpha,0.0704088275244917,0.0655210611207231,-0.06941979543784309
run03,1000.0,3.758787878787879,alpha,0.0719888580911904,0.0670099847613029,-0.06916172115941352
run03,1000.0,3.760909090909091,alpha,0.0736448571081697,0.068521567112853,-0.06956751898902606
run03,1000.0,3.763030303030303,alpha,0.0753902770887317,0.0701065672205372,-0.07008476520089932
run03,1000.0,3.765151515151515,alpha,0.0771773134353593,0.0717066899020683,-0.07088382958384504
run03,1000.0,3.767272727272728,alpha,0.0790988181910657,0.0734603063998694,-0.07128439994610662
run03,1000.0,3.76939393939394,alpha,0.0810516394361073,0.075376062711541,-0.07002420634613238
run03,1000.0,3.773636363636364,alpha,0.0853176597684354,0.0792679067283439,-0.07090856754054692
run03,1000.0,3.775757575757576,alpha,0.0876084298439623,0.081407157331999,-0.07078397048101726
run03,1000.0,3.777878787878788,alpha,0.0900461020321439,0.083648901333013,-0.0710436160451152
run03,1000.0,3.78,alpha,0.0925578365743223,0.0859020961196052,-0.07190898902841861
run03,1000.0,3.782121212121212,alpha,0.0952423897282167,0.0883615646372946,-0.07224540575427815
run03,1000.0,3.784242424242424,alpha,0.098159087906614,0.0909851073906542,-0.07308524018463718
run03,1000.0,3.7863636363636366,alpha,0.1011386506998268,0.093715454446777,-0.07339623577816351
run03,1000.0,3.788484848484849,alpha,0.104285841697208,0.0966379770244578,-0.07333559904474511
run03,1000.0,3.790606060606061,alpha,0.1076213088426075,0.0998018853378663,-0.0726568333802448
run03,1000.0,3.792727272727273,alpha,0.1110135418188676,0.1030398705909408,-0.07182611325865848
run03,1000.0,3.794848484848485,alpha,0.115234864413884,0.1065175610063603,-0.07564814218216241
run03,1000.0,3.796969696969697,alpha,0.1192922408614532,0.1100477995106282,-0.0774940707297263
run03,1000.0,3.799090909090909,alpha,0.1237354461826109,0.1142808216388456,-0.07640999273411109
run03,1000.0,3.801212121212121,alpha,0.128380904140525,0.1185728306280851,-0.0763982274318931
run03,1000.0,3.8033333333333337,alpha,0.1335400280531508,0.1232523710488766,-0.07703800241961584
run03,1000.0,3.8054545454545456,alpha,0.1388613818343201,0.1282123944096074,-0.0766878975568479
run03,1000.0,3.8075757575757576,alpha,0.1450484340698437,0.1336902170333977,-0.07830637475877046
run03,1000.0,3.8096969696969696,alpha,0.1513334600912193,0.1393875561516037,-0.07893762511221893
run03,1000.0,3.811818181818182,alpha,0.1583066220673871,0.1459805627279701,-0.07786193134845683
run03,1000.0,3.813939393939394,alpha,0.1663105866245381,0.152781288856943,-0.08134958839474703
run03,1000.0,3.8160606060606064,alpha,0.174956016243161,0.1603816976638319,-0.08330275741460147
run03,1000.0,3.8181818181818175,alpha,0.1845935832599631,0.1690997485142715,-0.08393485012895405
run03,1000.0,3.8203030303030303,alpha,0.194791899711873,0.1786735421160157,-0.0827465496239773
run03,1000.0,3.8224242424242423,alpha,0.2066785964116058,0.1889457992095167,-0.0857989047243855
run03,1000.0,3.824545454545455,alpha,0.2203484480692825,0.2008247952260625,-0.08860354141038163
run03,1000.0,3.826666666666666,alpha,0.2372729184028816,0.2144184376867959,-0.0963214886465869
run03,1000.0,3.828787878787879,alpha,0.2568162121772621,0.230865205921675,-0.10104894093553149
run03,1000.0,3.830909090909091,alpha,0.2805753871476348,0.2508517499325668,-0.10593814916284097
run03,1000.0,3.833030303030303,alpha,0.3107899195164466,0.276215270054041,-0.11124765409444345
run03,1000.0,3.8393939393939394,alpha,0.4753175689007051,0.4070707760760435,-0.1435814648772609
run03,1000.0,3.64,beta_over_H,1820.101925276132,1913.8827302108489,0.051525029248287335
run03,1000.0,3.642121212121212,beta_over_H,1831.339825976843,1887.025337754222,0.030406979080289515
run03,1000.0,3.644242424242425,beta_over_H,1783.2425160351638,1764.0372274696126,-0.010769869152879983
run03,1000.0,3.646363636363637,beta_over_H,1709.044822862033,1756.065292986302,0.0275127190903786
run03,1000.0,3.648484848484848,beta_over_H,1595.373100726379,1734.1656658625766,0.08699693198600673
run03,1000.0,3.650606060606061,beta_over_H,1568.980624208545,1693.3889290787934,0.07929244182540805
run03,1000.0,3.652727272727273,beta_over_H,1521.7232248833784,1698.22917262974,0.11599083516642045
run03,1000.0,3.656969696969697,beta_over_H,1522.2301517797468,1613.2034022152625,0.05976313787317403
run03,1000.0,3.659090909090909,beta_over_H,1673.8349156173483,1602.819309777362,-0.04242688760844389
run03,1000.0,3.661212121212121,beta_over_H,1544.3533955990292,1553.5725955313046,0.00596961806704832
run03,1000.0,3.6633333333333336,beta_over_H,1503.9383490077494,1501.2952773856748,-0.0017574334904209156
run03,1000.0,3.6654545454545455,beta_over_H,1400.9601811707976,1595.1633760546283,0.13862149509597985
run03,1000.0,3.66969696969697,beta_over_H,1487.771009334729,1517.5086308212396,0.019988036666884795
run03,1000.0,3.671818181818182,beta_over_H,1451.2749160702754,1580.8569201173696,0.08928839230403912
run03,1000.0,3.673939393939394,beta_over_H,1425.2166037785798,1450.9351027684024,0.018045326529060133
run03,1000.0,3.6760606060606063,beta_over_H,1374.865699206154,1517.8542093025435,0.10400180190614322
run03,1000.0,3.678181818181818,beta_over_H,1436.4745290283047,1371.826973447104,-0.045004317358088665
run03,1000.0,3.680303030303031,beta_over_H,1386.9241966475674,1377.9504095814707,-0.006470279405167148
run03,1000.0,3.6824242424242426,beta_over_H,1396.8611156037127,1125.578725740875,-0.19420856292187047
run03,1000.0,3.686666666666667,beta_over_H,1363.3378588938072,1363.1348422482977,-0.00014891147061243015
run03,1000.0,3.688787878787879,beta_over_H,1366.756145322938,1128.2969391172676,-0.17447092301116165
run03,1000.0,3.690909090909091,beta_over_H,1122.6371468815323,1276.8767988046222,0.13739047594455403
run03,1000.0,3.6951515151515153,beta_over_H,1235.610530691114,1307.465398603931,0.05815333078508669
run03,1000.0,3.6972727272727273,beta_over_H,1224.3734227206485,1155.0290030929964,-0.05663665867032923
run03,1000.0,3.701515151515152,beta_over_H,1174.0699423960518,1225.1040034667703,0.04346764977780435
run03,1000.0,3.703636363636364,beta_over_H,1182.4605747101036,1165.095020316599,-0.014685947899583954
run03,1000.0,3.705757575757576,beta_over_H,1191.465418596733,1149.0498461316038,-0.03559949940895869
run03,1000.0,3.707878787878788,beta_over_H,1131.0480994707605,1223.9957967208354,0.08217837711196102
run03,1000.0,3.71,beta_over_H,1126.9348192267043,1119.935735877412,-0.006210725970908419
run03,1000.0,3.712121212121213,beta_over_H,1109.5414476591543,1027.4087150420337,-0.07402403289250659
run03,1000.0,3.714242424242424,beta_over_H,1152.1943749176487,1082.5912660271513,-0.060409172623735644
run03,1000.0,3.716363636363636,beta_over_H,1246.0666939760424,1190.3859767034269,-0.044685182215203394
run03,1000.0,3.7184848484848487,beta_over_H,1165.2058473012492,1039.672933696328,-0.10773453797513097
run03,1000.0,3.7206060606060607,beta_over_H,1062.7173855004487,1066.8833535401063,0.00392010904921426
run03,1000.0,3.7227272727272727,beta_over_H,1037.4129892593064,1036.8436607106328,-0.0005487964335978948
run03,1000.0,3.724848484848485,beta_over_H,996.5115517633928,1044.7835351405388,0.048440967183697455
run03,1000.0,3.726969696969697,beta_over_H,989.6685722678646,917.0668432950724,-0.07335963877929606
run03,1000.0,3.729090909090909,beta_over_H,742.5219322175635,950.5905239006604,0.28021878230814534
run03,1000.0,3.7312121212121214,beta_over_H,805.873284699274,950.9337760551778,0.18000409507313012
run03,1000.0,3.733333333333333,beta_over_H,852.2030896760217,972.7877301349586,0.14149753963550987
run03,1000.0,3.735454545454546,beta_over_H,810.0437925737509,1083.202812298329,0.337215126180611
run03,1000.0,3.7375757575757578,beta_over_H,927.2444720141236,936.5139494785072,0.009996799920789844
run03,1000.0,3.7396969696969697,beta_over_H,911.5790892913247,919.835353348264,0.009057101192786013
run03,1000.0,3.741818181818182,beta_over_H,747.4802693902493,887.2199641599939,0.18694767004851653
run03,1000.0,3.743939393939394,beta_over_H,867.90036409221,806.5440644493856,-0.07069509609781154
run03,1000.0,3.746060606060606,beta_over_H,925.0452945471916,728.9224061132438,-0.21201436252907988
run03,1000.0,3.7503030303030314,beta_over_H,805.4579108018037,699.9722012176073,-0.13096365206617588
run03,1000.0,3.7524242424242416,beta_over_H,797.670222861638,782.8829678109649,-0.018538055736396705
run03,1000.0,3.754545454545455,beta_over_H,626.8456299727371,619.8361372123576,-0.01118216738734288
run03,1000.0,3.756666666666667,beta_over_H,791.3217428333421,853.4489359945236,0.07851066108550729
run03,1000.0,3.758787878787879,beta_over_H,691.4878398994636,653.2105598784619,-0.05535495754569857
run03,1000.0,3.760909090909091,beta_over_H,601.8119946368354,790.6756777092336,0.3138250562559298
run03,1000.0,3.763030303030303,beta_over_H,656.9362730507584,711.6941824156437,0.08335345696561111
run03,1000.0,3.765151515151515,beta_over_H,676.8177456546074,719.2294269601499,0.06266337071957623
run03,1000.0,3.767272727272728,beta_over_H,651.0103832705714,739.8435758050847,0.1364543405409751
run03,1000.0,3.76939393939394,beta_over_H,508.4968175917647,751.801274621703,0.47847783626695156
run03,1000.0,3.773636363636364,beta_over_H,639.2123023861203,550.2426294368731,-0.13918642150210758
run03,1000.0,3.775757575757576,beta_over_H,571.4830459505553,523.2752079606513,-0.08435567482097257
run03,1000.0,3.777878787878788,beta_over_H,580.0445296950987,620.1697361652663,0.06917607944903716
run03,1000.0,3.78,beta_over_H,619.9634674230765,683.1762944393514,0.10196218057658081
run03,1000.0,3.782121212121212,beta_over_H,510.8002288820733,538.359753703612,0.05395362661025989
run03,1000.0,3.784242424242424,beta_over_H,447.6218427353325,529.5858827117262,0.1831100097250101
run03,1000.0,3.7863636363636366,beta_over_H,497.1436744066698,582.146564206738,0.17098254322860965
run03,1000.0,3.788484848484849,beta_over_H,487.98034209802427,459.4385471060605,-0.05848964093358977
run03,1000.0,3.790606060606061,beta_over_H,674.0703350979705,482.46836660847,-0.28424625519479774
run03,1000.0,3.792727272727273,beta_over_H,441.418344033328,498.6403162652332,0.12963206673528002
run03,1000.0,3.794848484848485,beta_over_H,492.3315535965073,524.4607629257843,0.06525929344680714
run03,1000.0,3.796969696969697,beta_over_H,425.1893664446508,654.447895252441,0.5391915859157169
run03,1000.0,3.799090909090909,beta_over_H,362.7016597656976,234.89366782146467,-0.3523777421553458
run03,1000.0,3.801212121212121,beta_over_H,407.11262582696384,446.74377301108353,0.09734688798613736
run03,1000.0,3.8033333333333337,beta_over_H,464.2106545058884,444.5453108334192,-0.04236297353709218
run03,1000.0,3.8054545454545456,beta_over_H,382.9858282884804,462.0850877650137,0.20653312377123415
run03,1000.0,3.8075757575757576,beta_over_H,424.1902354348734,387.543921477653,-0.08639122472880865
run03,1000.0,3.8096969696969696,beta_over_H,429.4097885636437,399.4925107244948,-0.06967069367286857
run03,1000.0,3.811818181818182,beta_over_H,422.40532064046,337.1833577868557,-0.2017539995102072
run03,1000.0,3.813939393939394,beta_over_H,288.0126264024436,339.3973863721721,0.17841148359213935
run03,1000.0,3.8160606060606064,beta_over_H,309.1860360324196,294.618950505909,-0.047114306045125426
run03,1000.0,3.8181818181818175,beta_over_H,373.2779673015921,312.67802210063894,-0.1623453579085505
run03,1000.0,3.8203030303030303,beta_over_H,292.4870318276499,297.8370087318798,0.018291330288388318
run03,1000.0,3.8224242424242423,beta_over_H,278.17551470642366,288.0628735750695,0.035543598720687526
run03,1000.0,3.824545454545455,beta_over_H,247.49309876725317,272.15192989135056,0.09963441908853783
run03,1000.0,3.826666666666666,beta_over_H,202.16416010739144,237.43409106370925,0.17446183803094525
run03,1000.0,3.828787878787879,beta_over_H,235.77528124342703,145.93099780296131,-0.38105895989879307
run03,1000.0,3.830909090909091,beta_over_H,231.9554514156792,148.36097095397824,-0.36039023851995716
run03,1000.0,3.833030303030303,beta_over_H,207.02545346431123,131.01304268068506,-0.36716456605530307
run03,1000.0,3.8393939393939394,beta_over_H,84.08844973995855,125.87566905771772,0.496943628369712
run03,1000.0,3.64,Tc_minus_Tn_over_Tc,0.121472475281948,0.119467900739179,-0.016502294352002102
run03,1000.0,3.642121212121212,Tc_minus_Tn_over_Tc,0.122791191360785,0.1207347892586578,-0.016747146756521607
run03,1000.0,3.644242424242425,Tc_minus_Tn_over_Tc,0.124198667282267,0.1220970939518754,-0.016921061846946722
run03,1000.0,3.646363636363637,Tc_minus_Tn_over_Tc,0.1255276216282931,0.1234541202514383,-0.016518287767729324
run03,1000.0,3.648484848484848,Tc_minus_Tn_over_Tc,0.1268977243913424,0.1247708784038931,-0.016760316212529304
run03,1000.0,3.650606060606061,Tc_minus_Tn_over_Tc,0.1282941330694298,0.1262213216618112,-0.01615671237668254
run03,1000.0,3.652727272727273,Tc_minus_Tn_over_Tc,0.1296639461944483,0.1276023547259109,-0.015899496575908424
run03,1000.0,3.656969696969697,Tc_minus_Tn_over_Tc,0.1326660929889439,0.1303336019302045,-0.01758166692173415
run03,1000.0,3.659090909090909,Tc_minus_Tn_over_Tc,0.1341253297585368,0.1317909764541136,-0.017404268892577433
run03,1000.0,3.661212121212121,Tc_minus_Tn_over_Tc,0.1355639611703983,0.1332733150122245,-0.016897161593666766
run03,1000.0,3.6633333333333336,Tc_minus_Tn_over_Tc,0.1370719551007546,0.1348179202395678,-0.016444172402224646
