quantity,value
label,results_eft68_c6f20_c8f40_f799p38_mh125_Glauber_C6p2597_Lambda2000
model_parameters.c6_over_f2_TeV2,0.0
model_parameters.c8_over_f4_TeV4,0.0
model_parameters.f_GeV,799.3801151667378
model_parameters.m_h,125.0
model_parameters.v,246.0
model_parameters.m_w,80.36
model_parameters.m_z,91.19
model_parameters.m_t,173.1
model_parameters.use_glauber_measure,True
model_parameters.C_glauber,6.25969696969697
model_parameters.Lambda_glauber,2000.0
derived_tree_coefficients.glauber_scheme,counterterm_subtracted
derived_tree_coefficients.lambda_tree,0.12909808976138543
derived_tree_coefficients.mu2_tree_GeV2,7812.5
derived_tree_coefficients.a0_mean_field,0.3998252334093464
derived_tree_coefficients.glauber_t0,0.09470295545454546
derived_tree_coefficients.glauber_lambda_shift,0.0
derived_tree_coefficients.glauber_mu2_shift_after_lambda_GeV2,0.0
derived_tree_coefficients.lambda_tree_raw_glauber_equivalent,-1.0819591700176663
derived_tree_coefficients.mu2_tree_raw_glauber_equivalent_GeV2,635111.7837064159
derived_tree_coefficients.combo_TeV2,0.0
scan_parameters.T_min,1.0
scan_parameters.T_max,250.0
scan_parameters.phi_scan_range,"(-10.0, 799.3801151667378)"
scan_parameters.n_phi_scan,1200
scan_parameters.n_T_seeds,3
scan_parameters.deltaX_target,0.1
scan_parameters.x_eps,0.001
scan_parameters.T_eps,0.01
scan_parameters.deriv_order,4
scan_parameters.phitol,0.0001
scan_parameters.overlapAngle,45.0
scan_parameters.Tn_Ttol,0.01
scan_parameters.Tn_maxiter,160
scan_parameters.include_zeroT_loops,True
scan_parameters.include_scalar_loops,True
scan_parameters.include_thermal,True
scan_parameters.include_scalar_thermal,True
scan_parameters.include_daisy,True
scan_parameters.renormalize_zeroT_loops,True
scan_parameters.thermal_approx,spline
key_temperatures.Tn,84.71683183975107
key_temperatures.Tc,93.1060181547033
key_temperatures.Ts_false,75.48849589843478
key_temperatures.Ts_true,99.77518749999959
key_temperatures.S_at_Tn,11868.595590409284
key_temperatures.S_over_Tn,140.09725496887938
key_temperatures.false_phase_key,1
key_temperatures.true_phase_key,0
key_temperatures.phi_false_Tn,-0.0010457393091760792
key_temperatures.phi_true_Tn,223.30729424622228
key_temperatures.vTn_over_Tn,2.6359259358119838
key_temperatures.Tc_minus_Tn_over_Tc,0.09010358815917698
gw_scales.gw_T_star_GeV,84.71683183975107
gw_scales.gw_alpha,0.021244655085235247
gw_scales.gw_beta_over_H,2417.6731456638436
gw_scales.gw_v_w,1.0
gw_scales.gw_g_star,106.75
gw_peaks.sw.f_peak_mHz,39.551622464706206
gw_peaks.sw.f_peak_Hz,0.039551622464706206
gw_peaks.sw.omega_peak,1.711211106954774e-17
gw_peaks.turb.f_peak_mHz,66.68375031194131
gw_peaks.turb.f_peak_Hz,0.0666837503119413
gw_peaks.turb.omega_peak,1.243350290394964e-21
gw_peaks.coll.f_peak_mHz,nan
gw_peaks.coll.f_peak_Hz,nan
gw_peaks.coll.omega_peak,nan
gw_peaks.total.f_peak_mHz,39.551622464706206
gw_peaks.total.f_peak_Hz,0.039551622464706206
gw_peaks.total.omega_peak,1.7113205634280697e-17
gw_run_parameters.g_star,106.75
gw_run_parameters.v_w,1.0
gw_run_parameters.epsilon_turb,1.0
gw_run_parameters.frequency_unit,mHz
S3,11868.373674210263
S3_over_T,140.09463546347294
bounce_diagnostics.label,results_eft68_c6f20_c8f40_f799p38_mh125_Glauber_C6p2597_Lambda2000
bounce_diagnostics.C,nan
bounce_diagnostics.Lambda_GeV,nan
bounce_diagnostics.finiteT,
bounce_diagnostics.temperature_GeV,nan
bounce_diagnostics.phi_metaMin,-0.0010457393091760792
bounce_diagnostics.phi_absMin,223.30729424622228
bounce_diagnostics.phi_bar,115.42846443354475
bounce_diagnostics.phi_top,77.65967115871337
bounce_diagnostics.V(phi_meta),-143293172.75851306
bounce_diagnostics.V(phi_true),-154344288.47889602
bounce_diagnostics.V(phi_top),-142501076.8443572
bounce_diagnostics.DeltaV_true_minus_meta,-11051115.720382959
bounce_diagnostics.r0,3.562352436045171e-06
bounce_diagnostics.phi0,218.76596381763366
bounce_diagnostics.dphi0,-0.039731938505617286
bounce_diagnostics.rscale_cubic,0.03562352436045171
bounce_diagnostics.rscale_curv,0.033770357734267724
bounce_diagnostics.wall_r_hi,0.1364700771650444
bounce_diagnostics.wall_thickness,0.09344067824035085
bounce_diagnostics.S_total,11868.373674210263
bounce_diagnostics.S_kin,17747.092783668028
bounce_diagnostics.S_pot,-5878.719109457764
bounce_diagnostics.S_interior,0.0
bounce_diagnostics.S3_over_T,nan
bounce_diagnostics.beta_rscale,28.071338194436862
bounce_diagnostics.beta_curvature,29.61182256065684
bounce_diagnostics.beta_wall,10.701977113519774
bounce_diagnostics.Tn_from_transitionFinder_GeV,84.71683183975107
bounce_diagnostics.Tc_from_transitionFinder_GeV,93.1060181547033
bounce_diagnostics.T_spinodal_high_GeV,nan
bounce_diagnostics.T_spinodal_low_GeV,nan
bounce_diagnostics.gw_T_star_GeV,84.71683183975107
bounce_diagnostics.gw_alpha,0.021244655085235247
bounce_diagnostics.gw_beta_over_H,2417.6731456638436
bounce_diagnostics.gw_R_star_times_H,nan
bounce_diagnostics.gw_Gamma_Tstar_GeV4,nan
bounce_diagnostics.gw_dT_for_beta_GeV,nan
bounce_diagnostics.gw_f_sw_peak_Hz,nan
bounce_diagnostics.gw_f_turb_peak_Hz,nan
bounce_diagnostics.gw_f_coll_peak_Hz,nan
bounce_diagnostics.gw_g_star,106.75
bounce_diagnostics.gw_v_w,1.0
bounce_diagnostics.omega_sw_peak,nan
bounce_diagnostics.omega_turb_peak,nan
bounce_diagnostics.omega_coll_peak,nan
bounce_diagnostics.omega_tot_peak,nan
